chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain Nanog motif
chr10,23638371,23638629,Nanog_256_peak_889,184,.,11.89573,22.46444,18.41262,67,False
chr10,23665175,23665424,Nanog_256_peak_891,215,.,13.2197,25.73021,21.53822,159,False
chr10,24055332,24055495,Nanog_256_peak_894,186,.,12.51045,22.71509,18.65203,69,False
chr10,24133026,24133173,Nanog_256_peak_899,149,.,10.90135,18.79206,14.91865,88,True
chr10,24148117,24148343,Nanog_256_peak_900,146,.,10.34585,18.4660799999999,14.609,79,True
chr10,24825357,24825629,Nanog_256_peak_907,183,.,11.54461,22.37352,18.32611,45,False
chr10,24886043,24886149,Nanog_256_peak_909,176,.,12.24987,21.67106,17.65687,48,False
chr10,25212992,25213128,Nanog_256_peak_912,167,.,11.3939899999999,20.69514,16.72928,74,True
chr10,25223240,25223408,Nanog_256_peak_913,196,.,11.70608,23.71951,19.61224,48,False
chr10,25532400,25532509,Nanog_256_peak_916,155,.,11.22658,19.4369899999999,15.53245,44,True
chr10,26852664,26852779,Nanog_256_peak_930,247,.,15.37716,29.03519,24.70906,70,False
chr10,26934850,26935082,Nanog_256_peak_932,352,.,15.51515,39.929,35.20733,152,True
chr10,26972641,26972869,Nanog_256_peak_933,198,.,12.46219,23.9236799999999,19.80648,164,False
chr10,27222211,27222533,Nanog_256_peak_935,302,.,15.35338,34.75266,30.21342,170,False
chr10,28152633,28152832,Nanog_256_peak_948,178,.,11.24357,21.87101,17.84763,55,False
chr10,28177251,28177359,Nanog_256_peak_951,158,.,10.58961,19.77876,15.85793,61,True
chr10,28380986,28381190,Nanog_256_peak_954,174,.,11.0044399999999,21.47317,17.4689,120,True
chr10,28388688,28388884,Nanog_256_peak_955,180,.,11.36707,22.07692,18.04387,140,False
chr10,28740544,28740739,Nanog_256_peak_964,153,.,10.7943,19.24009,15.34459,70,False
chr10,28860372,28860567,Nanog_256_peak_965,151,.,10.88872,19.04544,15.1593299999999,77,True
chr10,29242815,29242939,Nanog_256_peak_968,183,.,12.48096,22.3671,18.32019,55,False
chr10,29770026,29770211,Nanog_256_peak_971,186,.,12.04073,22.71256,18.6498,30,False
chr10,29917967,29918743,Nanog_256_peak_977,613,.,16.26376,66.74045,61.3308599999999,232,False
chr10,29929568,29929986,Nanog_256_peak_978,183,.,10.27392,22.4381,18.38786,203,False
chr10,29932127,29932272,Nanog_256_peak_979,282,.,13.36775,32.7123099999999,28.24786,69,False
chr10,32206543,32206652,Nanog_256_peak_996,172,.,11.88528,21.21326,17.2219,54,False
chr10,32494251,32494362,Nanog_256_peak_998,311,.,17.67902,35.76361,31.18747,40,True
chr10,32762639,32762890,Nanog_256_peak_1001,148,.,10.49981,18.72992,14.85948,190,True
chr10,33342335,33342526,Nanog_256_peak_1005,210,.,12.62228,25.25023,21.07796,57,True
chr10,33521027,33521247,Nanog_256_peak_1007,152,.,11.09419,19.17139,15.2789799999999,55,False
chr10,33527621,33527767,Nanog_256_peak_1008,152,.,11.06158,19.10664,15.21759,24,False
chr10,33622161,33622319,Nanog_256_peak_1009,174,.,12.02027,21.46907,17.46502,62,False
chr10,33888456,33888622,Nanog_256_peak_1014,149,.,10.04677,18.87668,14.99915,108,False
chr10,34703921,34704255,Nanog_256_peak_1019,279,.,14.37506,32.4436599999999,27.9881,269,True
chr10,35152462,35152783,Nanog_256_peak_1021,359,.,14.7171,40.6748,35.92948,128,False
chr10,35257332,35257638,Nanog_256_peak_1023,203,.,12.80135,24.50677,20.36805,203,True
chr10,35554027,35554198,Nanog_256_peak_1027,150,.,10.60502,18.91131,15.03222,84,False
chr10,35743807,35744072,Nanog_256_peak_1029,159,.,10.35015,19.87412,15.9479,61,False
chr10,36026377,36026594,Nanog_256_peak_1033,391,.,17.87331,43.97748,39.12709,94,False
chr10,36234592,36234886,Nanog_256_peak_1034,426,.,18.63101,47.54661,42.60487,151,False
chr10,38472618,38472757,Nanog_256_peak_1050,221,.,13.8647299999999,26.38824,22.16947,52,False
chr10,39212756,39212907,Nanog_256_peak_1056,408,.,20.62087,45.78868,40.89019,104,False
chr10,40160392,40160675,Nanog_256_peak_1064,150,.,10.06827,18.91229,15.03289,151,True
chr10,40607960,40608179,Nanog_256_peak_1068,278,.,14.3185899999999,32.3486,27.89645,51,True
chr10,40768428,40768728,Nanog_256_peak_1071,173,.,11.4953899999999,21.30926,17.31289,137,True
chr10,40774355,40774649,Nanog_256_peak_1072,244,.,14.01897,28.73661,24.4234799999999,188,True
chr10,40923086,40923526,Nanog_256_peak_1074,260,.,12.41425,30.38884,26.00839,391,True
chr10,41758729,41759133,Nanog_256_peak_1081,273,.,14.36449,31.7762299999999,27.34559,326,False
chr10,41766472,41766703,Nanog_256_peak_1083,142,.,10.0990399999999,18.0467,14.21274,167,True
chr10,41986171,41986326,Nanog_256_peak_1085,138,.,10.09169,17.62963,13.81741,86,False
chr10,42113484,42113921,Nanog_256_peak_1089,153,.,10.24368,19.20305,15.30912,368,True
chr10,42254034,42254387,Nanog_256_peak_1095,166,.,11.06281,20.57326,16.61224,199,False
chr10,42296054,42296233,Nanog_256_peak_1097,247,.,12.3744199999999,29.0426799999999,24.71626,41,False
chr10,42348252,42348455,Nanog_256_peak_1098,255,.,15.2890299999999,29.89367,25.53487,53,True
chr10,44301198,44301362,Nanog_256_peak_1119,155,.,11.13124,19.4931,15.58551,84,False
chr10,45007120,45007298,Nanog_256_peak_1129,261,.,12.49419,30.5294299999999,26.14352,96,False
chr10,45009392,45009653,Nanog_256_peak_1130,248,.,12.11558,29.22542,24.8910299999999,87,True
chr11,393901,394078,Nanog_256_peak_1142,146,.,10.74571,18.49185,14.6340899999999,50,False
chr11,884225,884506,Nanog_256_peak_1145,213,.,13.09172,25.51025,21.32774,60,False
chr11,1435352,1435437,Nanog_256_peak_1153,133,.,10.0296899999999,17.16834,13.37945,23,False
chr11,2735193,2735436,Nanog_256_peak_1167,165,.,11.52923,20.55229,16.59233,117,False
chr11,2752858,2752986,Nanog_256_peak_1168,146,.,10.57201,18.47363,14.61638,43,False
chr11,3176578,3176732,Nanog_256_peak_1178,207,.,13.05984,24.95599,20.79895,50,False
chr11,5817819,5817914,Nanog_256_peak_1208,196,.,12.88041,23.76411,19.65428,67,False
chr11,6010031,6010151,Nanog_256_peak_1211,305,.,16.36331,35.14863,30.59449,59,False
chr11,6452788,6453015,Nanog_256_peak_1214,252,.,12.35423,29.64286,25.29226,83,True
chr11,6701221,6701326,Nanog_256_peak_1218,159,.,10.94737,19.92238,15.99331,63,False
chr11,7147443,7147715,Nanog_256_peak_1220,194,.,11.6337,23.59899,19.49735,214,False
chr11,7588306,7588733,Nanog_256_peak_1226,165,.,10.70922,20.46982,16.51395,230,False
chr11,8604899,8605007,Nanog_256_peak_1232,203,.,13.2804399999999,24.51271,20.3738,45,False
chr11,8709476,8709624,Nanog_256_peak_1233,194,.,12.94536,23.54844,19.4496,67,False
chr11,10157397,10157781,Nanog_256_peak_1244,161,.,10.50424,20.1295,16.1904,316,False
chr11,10376562,10376913,Nanog_256_peak_1248,212,.,11.71199,25.45874,21.27861,283,True
chr11,10515870,10516161,Nanog_256_peak_1251,195,.,11.98911,23.64462,19.54048,200,True
chr11,10624571,10624813,Nanog_256_peak_1252,180,.,11.3921,22.1186799999999,18.0830299999999,148,False
chr11,11215430,11215665,Nanog_256_peak_1260,626,.,24.84449,68.11109,62.67898,152,True
chr11,11578499,11578686,Nanog_256_peak_1263,274,.,15.51877,31.8801299999999,27.44503,73,False
chr11,11583577,11583807,Nanog_256_peak_1264,209,.,13.1261,25.0719,20.90905,119,True
chr11,11731495,11731708,Nanog_256_peak_1265,215,.,13.25208,25.78601,21.59107,131,True
chr11,12007845,12008144,Nanog_256_peak_1270,229,.,13.41826,27.1489099999999,22.90113,119,False
chr11,12865092,12865251,Nanog_256_peak_1272,176,.,11.72461,21.70404,17.68869,51,False
chr11,13747526,13748382,Nanog_256_peak_1277,329,.,11.73156,37.56657,32.92453,431,True
chr11,14813022,14813152,Nanog_256_peak_1285,203,.,13.24305,24.44179,20.30538,46,False
chr11,15064888,15065049,Nanog_256_peak_1286,341,.,18.77945,38.83699,34.14905,81,True
chr11,15113913,15114015,Nanog_256_peak_1288,162,.,10.85851,20.22907,16.28435,60,False
chr11,15135868,15136039,Nanog_256_peak_1294,1403,.,48.49384,146.81668,140.35654,70,False
chr11,16928184,16928487,Nanog_256_peak_1304,142,.,10.0990399999999,18.0467,14.21274,253,False
chr11,17371326,17371519,Nanog_256_peak_1308,311,.,16.30378,35.69165,31.11758,72,True
chr11,17839713,17839803,Nanog_256_peak_1314,174,.,12.10887,21.40946,17.40797,56,False
chr11,17907415,17907618,Nanog_256_peak_1315,203,.,12.48729,24.48195,20.34431,64,False
chr11,18713926,18714115,Nanog_256_peak_1323,223,.,11.99096,26.52921,22.30581,66,True
chr11,18740734,18741245,Nanog_256_peak_1325,434,.,16.06869,48.3861799999999,43.42267,109,True
chr11,18998599,18998780,Nanog_256_peak_1330,374,.,18.5736299999999,42.25495,37.4586599999999,101,False
chr11,19723146,19723369,Nanog_256_peak_1335,190,.,12.3108399999999,23.17825,19.09637,109,True
chr11,19948126,19948293,Nanog_256_peak_1343,474,.,22.00595,52.51109,47.4366099999999,50,False
chr11,20475275,20475474,Nanog_256_peak_1350,218,.,10.02501,26.01812,21.81507,131,False
chr11,20479611,20479971,Nanog_256_peak_1351,360,.,13.27142,40.7557599999999,36.0061599999999,227,False
chr11,21235553,21235851,Nanog_256_peak_1359,161,.,11.05571,20.10841,16.16982,229,False
chr11,21586196,21586328,Nanog_256_peak_1362,171,.,11.09411,21.11134,17.1247799999999,94,False
chr11,21612077,21612304,Nanog_256_peak_1363,271,.,13.483,31.58909,27.16483,102,True
chr11,22234082,22234216,Nanog_256_peak_1370,138,.,10.43156,17.6733799999999,13.8590299999999,58,True
chr11,22701691,22702037,Nanog_256_peak_1375,178,.,11.56157,21.89695,17.87248,226,False
chr11,23696461,23696628,Nanog_256_peak_1386,196,.,12.62555,23.7273,19.61938,72,False
chr11,24068066,24068393,Nanog_256_peak_1391,413,.,13.19931,46.21441,41.30433,187,True
chr11,24123875,24124290,Nanog_256_peak_1392,160,.,10.39371,19.94629,16.01602,205,True
chr11,24849798,24850028,Nanog_256_peak_1400,255,.,14.3606299999999,29.9024599999999,25.54348,92,True
chr11,24940492,24940716,Nanog_256_peak_1401,341,.,17.3556299999999,38.80622,34.11903,103,True
chr11,25001760,25001967,Nanog_256_peak_1404,214,.,11.46888,25.64215,21.45399,78,True
chr11,25044488,25044800,Nanog_256_peak_1406,174,.,10.66536,21.44089,17.43832,171,False
chr11,25256903,25257384,Nanog_256_peak_1409,594,.,15.44775,64.77644,59.40549,175,False
chr11,25273913,25274243,Nanog_256_peak_1410,281,.,12.93897,32.6232599999999,28.16242,140,False
chr11,25965349,25965688,Nanog_256_peak_1414,148,.,10.2212,18.69435,14.82569,220,True
chr11,27615413,27615624,Nanog_256_peak_1424,187,.,12.09973,22.81387,18.7465899999999,100,False
chr11,27625162,27625403,Nanog_256_peak_1425,247,.,13.13682,29.07805,24.75003,91,False
chr11,27965268,27965716,Nanog_256_peak_1429,951,.,24.63609,101.17238,95.13786,234,True
chr11,28800331,28800876,Nanog_256_peak_1432,400,.,13.2474,44.9116099999999,40.03216,409,False
chr11,30341338,30341557,Nanog_256_peak_1450,185,.,12.24342,22.61262,18.55379,74,False
chr11,30399073,30399355,Nanog_256_peak_1451,280,.,13.6356299999999,32.51011,28.05278,135,True
chr11,30417945,30418227,Nanog_256_peak_1452,212,.,13.02865,25.40217,21.2243,224,False
chr11,30539443,30539581,Nanog_256_peak_1453,161,.,11.05571,20.10841,16.16982,74,False
chr11,31033664,31033849,Nanog_256_peak_1458,411,.,18.65883,46.06274,41.15533,151,True
chr11,31041970,31042188,Nanog_256_peak_1459,260,.,13.56369,30.42984,26.048,151,False
chr11,31324284,31324398,Nanog_256_peak_1462,145,.,10.54413,18.42392,14.56927,65,False
chr11,31698473,31698695,Nanog_256_peak_1468,151,.,11.02916,19.04251,15.15685,113,False
chr11,33117174,33117350,Nanog_256_peak_1480,186,.,12.07016,22.76307,18.69787,97,True
chr11,35048567,35048996,Nanog_256_peak_1489,944,.,21.85292,100.51834,94.49524,312,True
chr11,35066211,35066503,Nanog_256_peak_1491,505,.,18.7233,55.67629,50.5143799999999,126,False
chr11,35066865,35066970,Nanog_256_peak_1492,214,.,10.8019,25.6772,21.4872,40,False
chr11,35141473,35141816,Nanog_256_peak_1497,1356,.,26.28759,142.037539999999,135.60103,162,False
chr11,35619369,35619511,Nanog_256_peak_1502,129,.,10.00231,16.67834,12.91665,66,True
chr11,36183115,36183338,Nanog_256_peak_1506,179,.,12.26402,21.93912,17.91255,135,False
chr11,36286209,36286346,Nanog_256_peak_1509,135,.,10.11053,17.31365,13.51799,56,False
chr11,36510408,36510564,Nanog_256_peak_1514,134,.,10.22002,17.25714,13.4642799999999,59,True
chr11,36768665,36769017,Nanog_256_peak_1516,137,.,10.24821,17.56332,13.75465,101,False
chr11,37997474,37997703,Nanog_256_peak_1519,168,.,11.68839,20.84542,16.87221,180,True
chr11,38144683,38144886,Nanog_256_peak_1522,266,.,15.04092,31.0583599999999,26.65383,114,False
chr11,39847536,39847798,Nanog_256_peak_1532,144,.,10.27055,18.33768,14.48715,83,False
chr11,40727849,40728023,Nanog_256_peak_1538,160,.,11.19389,19.94578,16.01577,65,False
chr11,42255237,42255454,Nanog_256_peak_1556,174,.,11.55185,21.40616,17.40503,134,True
chr11,42643153,42643350,Nanog_256_peak_1561,183,.,11.86715,22.41567,18.3663,111,False
