,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain nanog motif
89,chr1,48898602,48898809,Nanog_256_peak_533,177,.,11.45432,21.71594,17.700029999999998,53,False
90,chr1,48939882,48940136,Nanog_256_peak_534,198,.,12.46219,23.923679999999997,19.80648,202,False
91,chr1,49289037,49289439,Nanog_256_peak_537,189,.,11.6283,23.04205,18.9657,155,True
92,chr1,49352600,49352919,Nanog_256_peak_539,189,.,11.262310000000001,22.980710000000002,18.90644,255,False
93,chr1,49591626,49591876,Nanog_256_peak_541,264,.,14.9348,30.87708,26.477790000000002,132,True
94,chr1,50542959,50543086,Nanog_256_peak_548,168,.,11.68839,20.84542,16.87221,66,True
95,chr1,50922385,50922678,Nanog_256_peak_554,545,.,11.8405,59.837790000000005,54.572269999999996,136,False
96,chr1,50923658,50923927,Nanog_256_peak_555,890,.,16.1356,94.99223,89.06054,159,False
97,chr1,51128964,51129086,Nanog_256_peak_557,167,.,11.78758,20.756870000000003,16.78775,52,True
98,chr1,51463433,51463580,Nanog_256_peak_563,188,.,12.18931,22.96813,18.894289999999998,90,False
99,chr1,51734562,51734659,Nanog_256_peak_567,140,.,10.41845,17.876170000000002,14.05132,43,False
100,chr1,51829166,51829416,Nanog_256_peak_569,224,.,13.46539,26.6771,22.44804,104,True
101,chr1,52002518,52002625,Nanog_256_peak_572,142,.,10.61997,18.05399,14.21975,63,True
102,chr1,52792691,52792983,Nanog_256_peak_577,534,.,20.88974,58.70656999999999,53.46609,89,False
103,chr1,52932109,52932491,Nanog_256_peak_581,201,.,12.05612,24.30292,20.17156,253,False
104,chr1,53466377,53466642,Nanog_256_peak_584,170,.,11.01985,20.98725,17.00699,74,False
105,chr1,54332851,54333261,Nanog_256_peak_595,191,.,11.42183,23.24628,19.16183,214,True
106,chr1,54765301,54765526,Nanog_256_peak_604,295,.,14.956729999999999,34.08488,29.56972,54,False
107,chr1,54972264,54972466,Nanog_256_peak_605,211,.,13.29473,25.36836,21.19177,49,False
108,chr1,55108841,55108968,Nanog_256_peak_609,154,.,10.877510000000001,19.38567,15.48369,67,True
109,chr1,58671983,58672211,Nanog_256_peak_628,221,.,12.60318,26.36028,22.14226,98,False
110,chr1,58839170,58839350,Nanog_256_peak_629,141,.,10.5881,17.9889,14.15821,121,False
111,chr10,74454,74592,Nanog_256_peak_636,144,.,10.24569,18.29539,14.44846,47,False
112,chr10,1961658,1961909,Nanog_256_peak_660,552,.,21.960639999999998,60.565290000000005,55.28576999999999,144,True
113,chr10,2427704,2428024,Nanog_256_peak_665,225,.,13.497589999999999,26.732129999999998,22.50074,116,False
114,chr10,4144483,4144633,Nanog_256_peak_678,230,.,14.56112,27.33366,23.078689999999998,70,True
115,chr10,6010337,6010640,Nanog_256_peak_688,193,.,12.169089999999999,23.42473,19.33199,164,False
116,chr10,8624703,8624844,Nanog_256_peak_711,359,.,16.793120000000002,40.67373,35.928709999999995,79,True
117,chr10,9398814,9399208,Nanog_256_peak_722,304,.,12.7538,34.956759999999996,30.40963,167,False
118,chr10,10015720,10015922,Nanog_256_peak_733,165,.,11.01102,20.48582,16.52908,33,True
119,chr10,10047142,10047347,Nanog_256_peak_734,155,.,10.9337,19.484360000000002,15.57726,86,False
120,chr10,12516962,12517108,Nanog_256_peak_752,258,.,13.06166,30.22113,25.84757,67,False
121,chr10,14208969,14209116,Nanog_256_peak_766,194,.,12.94536,23.54844,19.4496,54,False
122,chr10,14566533,14566714,Nanog_256_peak_771,142,.,10.5057,18.03841,14.205229999999998,53,True
123,chr10,14928928,14929252,Nanog_256_peak_774,235,.,12.419210000000001,27.86679,23.590320000000002,251,True
124,chr10,15074773,15075113,Nanog_256_peak_778,259,.,13.48591,30.29877,25.92235,145,True
125,chr10,15184717,15184963,Nanog_256_peak_779,282,.,16.29824,32.71201,28.2477,146,False
126,chr10,15854959,15855153,Nanog_256_peak_788,199,.,12.55289,24.07897,19.95576,103,False
127,chr10,16232355,16232662,Nanog_256_peak_792,219,.,12.8046,26.11735,21.910439999999998,57,False
128,chr10,16713356,16713612,Nanog_256_peak_796,317,.,14.66906,36.33079,31.734740000000002,135,False
129,chr10,16800701,16800857,Nanog_256_peak_803,655,.,18.146,71.0424,65.54626,83,False
130,chr10,17451466,17451639,Nanog_256_peak_813,186,.,11.75442,22.725179999999998,18.6617,49,False
131,chr10,17505874,17506103,Nanog_256_peak_814,245,.,13.03638,28.90902,24.58766,73,True
132,chr10,17843759,17843906,Nanog_256_peak_820,373,.,19.64059,42.12212,37.32874,67,True
133,chr10,19219689,19219918,Nanog_256_peak_837,139,.,10.19462,17.80842,13.987260000000001,162,False
134,chr10,19905582,19906067,Nanog_256_peak_841,474,.,18.77794,52.536730000000006,47.46199,148,False
135,chr10,20292760,20293151,Nanog_256_peak_847,154,.,10.877510000000001,19.38567,15.48369,196,False
136,chr10,20972336,20972503,Nanog_256_peak_857,283,.,15.709620000000001,32.796859999999995,28.328770000000002,78,True
137,chr10,22081284,22081784,Nanog_256_peak_873,322,.,12.044310000000001,36.904790000000006,32.28604,149,False
138,chr10,22155812,22155965,Nanog_256_peak_874,251,.,14.449629999999999,29.46851,25.1244,30,True
139,chr10,22871499,22871770,Nanog_256_peak_880,255,.,11.12315,29.93038,25.57015,205,False
140,chr10,23417011,23417243,Nanog_256_peak_887,160,.,11.50108,20.002489999999998,16.06963,88,True
141,chr10,23638371,23638629,Nanog_256_peak_889,184,.,11.89573,22.46444,18.41262,67,False
142,chr10,23665175,23665424,Nanog_256_peak_891,215,.,13.2197,25.73021,21.538220000000003,159,False
143,chr10,24055332,24055495,Nanog_256_peak_894,186,.,12.51045,22.71509,18.65203,69,False
144,chr10,24133026,24133173,Nanog_256_peak_899,149,.,10.90135,18.79206,14.91865,88,True
145,chr10,24148117,24148343,Nanog_256_peak_900,146,.,10.34585,18.466079999999998,14.609,79,True
146,chr10,24825357,24825629,Nanog_256_peak_907,183,.,11.54461,22.373520000000003,18.32611,45,False
147,chr10,24886043,24886149,Nanog_256_peak_909,176,.,12.24987,21.67106,17.65687,48,False
148,chr10,25212992,25213128,Nanog_256_peak_912,167,.,11.393989999999999,20.69514,16.72928,74,True
149,chr10,25223240,25223408,Nanog_256_peak_913,196,.,11.70608,23.71951,19.61224,48,False
150,chr10,25532400,25532509,Nanog_256_peak_916,155,.,11.22658,19.436989999999998,15.53245,44,True
151,chr10,26852664,26852779,Nanog_256_peak_930,247,.,15.37716,29.035190000000004,24.70906,70,False
152,chr10,26934850,26935082,Nanog_256_peak_932,352,.,15.51515,39.929,35.20733,152,True
153,chr10,26972641,26972869,Nanog_256_peak_933,198,.,12.46219,23.923679999999997,19.80648,164,False
154,chr10,27222211,27222533,Nanog_256_peak_935,302,.,15.35338,34.75266,30.213420000000003,170,False
155,chr10,28152633,28152832,Nanog_256_peak_948,178,.,11.24357,21.871010000000002,17.84763,55,False
156,chr10,28177251,28177359,Nanog_256_peak_951,158,.,10.58961,19.778760000000002,15.85793,61,True
157,chr10,28380986,28381190,Nanog_256_peak_954,174,.,11.004439999999999,21.47317,17.4689,120,True
158,chr10,28388688,28388884,Nanog_256_peak_955,180,.,11.36707,22.07692,18.043870000000002,140,False
159,chr10,28740544,28740739,Nanog_256_peak_964,153,.,10.7943,19.24009,15.34459,70,False
160,chr10,28860372,28860567,Nanog_256_peak_965,151,.,10.88872,19.04544,15.159329999999999,77,True
161,chr10,29242815,29242939,Nanog_256_peak_968,183,.,12.480960000000001,22.3671,18.32019,55,False
162,chr10,29770026,29770211,Nanog_256_peak_971,186,.,12.04073,22.71256,18.6498,30,False
163,chr10,29917967,29918743,Nanog_256_peak_977,613,.,16.26376,66.74045,61.330859999999994,232,False
164,chr10,29929568,29929986,Nanog_256_peak_978,183,.,10.27392,22.4381,18.38786,203,False
165,chr10,29932127,29932272,Nanog_256_peak_979,282,.,13.36775,32.712309999999995,28.24786,69,False
166,chr10,32206543,32206652,Nanog_256_peak_996,172,.,11.88528,21.213260000000002,17.2219,54,False
167,chr10,32494251,32494362,Nanog_256_peak_998,311,.,17.67902,35.76361,31.18747,40,True
168,chr10,32762639,32762890,Nanog_256_peak_1001,148,.,10.49981,18.72992,14.85948,190,True
169,chr10,33342335,33342526,Nanog_256_peak_1005,210,.,12.62228,25.25023,21.07796,57,True
170,chr10,33521027,33521247,Nanog_256_peak_1007,152,.,11.09419,19.17139,15.278979999999999,55,False
171,chr10,33527621,33527767,Nanog_256_peak_1008,152,.,11.061580000000001,19.10664,15.21759,24,False
172,chr10,33622161,33622319,Nanog_256_peak_1009,174,.,12.02027,21.469070000000002,17.465020000000003,62,False
173,chr10,33888456,33888622,Nanog_256_peak_1014,149,.,10.04677,18.87668,14.99915,108,False
174,chr10,34703921,34704255,Nanog_256_peak_1019,279,.,14.375060000000001,32.443659999999994,27.9881,269,True
175,chr10,35152462,35152783,Nanog_256_peak_1021,359,.,14.7171,40.6748,35.92948,128,False
176,chr10,35257332,35257638,Nanog_256_peak_1023,203,.,12.80135,24.50677,20.36805,203,True
177,chr10,35554027,35554198,Nanog_256_peak_1027,150,.,10.60502,18.91131,15.03222,84,False
178,chr10,35743807,35744072,Nanog_256_peak_1029,159,.,10.35015,19.87412,15.9479,61,False
179,chr10,36026377,36026594,Nanog_256_peak_1033,391,.,17.87331,43.97748,39.12709,94,False
180,chr10,36234592,36234886,Nanog_256_peak_1034,426,.,18.63101,47.54661,42.60487,151,False
181,chr10,38472618,38472757,Nanog_256_peak_1050,221,.,13.864729999999998,26.388240000000003,22.16947,52,False
182,chr10,39212756,39212907,Nanog_256_peak_1056,408,.,20.62087,45.78868,40.890190000000004,104,False
183,chr10,40160392,40160675,Nanog_256_peak_1064,150,.,10.06827,18.91229,15.03289,151,True
184,chr10,40607960,40608179,Nanog_256_peak_1068,278,.,14.318589999999999,32.3486,27.89645,51,True
185,chr10,40768428,40768728,Nanog_256_peak_1071,173,.,11.495389999999999,21.309260000000002,17.31289,137,True
186,chr10,40774355,40774649,Nanog_256_peak_1072,244,.,14.018970000000001,28.73661,24.423479999999998,188,True
187,chr10,40923086,40923526,Nanog_256_peak_1074,260,.,12.41425,30.388840000000002,26.00839,391,True
188,chr10,41758729,41759133,Nanog_256_peak_1081,273,.,14.36449,31.776229999999998,27.34559,326,False
189,chr10,41766472,41766703,Nanog_256_peak_1083,142,.,10.099039999999999,18.0467,14.21274,167,True
190,chr10,41986171,41986326,Nanog_256_peak_1085,138,.,10.09169,17.62963,13.81741,86,False
191,chr10,42113484,42113921,Nanog_256_peak_1089,153,.,10.24368,19.20305,15.309120000000002,368,True
192,chr10,42254034,42254387,Nanog_256_peak_1095,166,.,11.06281,20.57326,16.61224,199,False
193,chr10,42296054,42296233,Nanog_256_peak_1097,247,.,12.374419999999999,29.042679999999997,24.716260000000002,41,False
194,chr10,42348252,42348455,Nanog_256_peak_1098,255,.,15.289029999999999,29.89367,25.53487,53,True
195,chr10,44301198,44301362,Nanog_256_peak_1119,155,.,11.13124,19.4931,15.585510000000001,84,False
196,chr10,45009392,45009653,Nanog_256_peak_1130,248,.,12.11558,29.22542,24.891029999999997,87,True
197,chr11,393901,394078,Nanog_256_peak_1142,146,.,10.74571,18.49185,14.634089999999999,50,False
198,chr11,884225,884506,Nanog_256_peak_1145,213,.,13.09172,25.51025,21.32774,60,False
199,chr11,1435352,1435437,Nanog_256_peak_1153,133,.,10.029689999999999,17.16834,13.37945,23,False
200,chr11,2735193,2735436,Nanog_256_peak_1167,165,.,11.52923,20.55229,16.59233,117,False
201,chr11,2752858,2752986,Nanog_256_peak_1168,146,.,10.57201,18.47363,14.61638,43,False
202,chr11,3176578,3176732,Nanog_256_peak_1178,207,.,13.05984,24.95599,20.79895,50,False
203,chr11,5817819,5817914,Nanog_256_peak_1208,196,.,12.880410000000001,23.764110000000002,19.65428,67,False
204,chr11,6010031,6010151,Nanog_256_peak_1211,305,.,16.363310000000002,35.14863,30.594490000000004,59,False
205,chr11,6452788,6453015,Nanog_256_peak_1214,252,.,12.354230000000001,29.64286,25.29226,83,True
206,chr11,6701221,6701326,Nanog_256_peak_1218,159,.,10.94737,19.92238,15.993310000000001,63,False
207,chr11,7147443,7147715,Nanog_256_peak_1220,194,.,11.6337,23.59899,19.49735,214,False
208,chr11,7588306,7588733,Nanog_256_peak_1226,165,.,10.70922,20.469820000000002,16.51395,230,False
209,chr11,8604899,8605007,Nanog_256_peak_1232,203,.,13.280439999999999,24.512710000000002,20.3738,45,False
210,chr11,8709476,8709624,Nanog_256_peak_1233,194,.,12.94536,23.54844,19.4496,67,False
211,chr11,10157397,10157781,Nanog_256_peak_1244,161,.,10.50424,20.1295,16.1904,316,False
212,chr11,10376562,10376913,Nanog_256_peak_1248,212,.,11.71199,25.45874,21.27861,283,True
213,chr11,10515870,10516161,Nanog_256_peak_1251,195,.,11.98911,23.64462,19.54048,200,True
214,chr11,10624571,10624813,Nanog_256_peak_1252,180,.,11.3921,22.118679999999998,18.083029999999997,148,False
215,chr11,11215430,11215665,Nanog_256_peak_1260,626,.,24.84449,68.11109,62.67898,152,True
216,chr11,11578499,11578686,Nanog_256_peak_1263,274,.,15.518770000000002,31.880129999999998,27.44503,73,False
217,chr11,11583577,11583807,Nanog_256_peak_1264,209,.,13.1261,25.0719,20.90905,119,True
218,chr11,11731495,11731708,Nanog_256_peak_1265,215,.,13.25208,25.78601,21.591070000000002,131,True
219,chr11,12007845,12008144,Nanog_256_peak_1270,229,.,13.41826,27.148909999999997,22.90113,119,False
220,chr11,12865092,12865251,Nanog_256_peak_1272,176,.,11.72461,21.70404,17.68869,51,False
221,chr11,13747526,13748382,Nanog_256_peak_1277,329,.,11.73156,37.56657,32.92453,431,True
222,chr11,14813022,14813152,Nanog_256_peak_1285,203,.,13.24305,24.44179,20.30538,46,False
223,chr11,15064888,15065049,Nanog_256_peak_1286,341,.,18.77945,38.83699,34.14905,81,True
224,chr11,15113913,15114015,Nanog_256_peak_1288,162,.,10.85851,20.22907,16.28435,60,False
225,chr11,16928184,16928487,Nanog_256_peak_1304,142,.,10.099039999999999,18.0467,14.21274,253,False
226,chr11,17371326,17371519,Nanog_256_peak_1308,311,.,16.30378,35.69165,31.11758,72,True
227,chr11,17839713,17839803,Nanog_256_peak_1314,174,.,12.10887,21.40946,17.407970000000002,56,False
228,chr11,17907415,17907618,Nanog_256_peak_1315,203,.,12.48729,24.48195,20.34431,64,False
229,chr11,18713926,18714115,Nanog_256_peak_1323,223,.,11.990960000000001,26.52921,22.30581,66,True
230,chr11,18740734,18741245,Nanog_256_peak_1325,434,.,16.06869,48.386179999999996,43.422670000000004,109,True
231,chr11,18998599,18998780,Nanog_256_peak_1330,374,.,18.573629999999998,42.25495,37.458659999999995,101,False
232,chr11,19723146,19723369,Nanog_256_peak_1335,190,.,12.310839999999999,23.17825,19.09637,109,True
233,chr11,19948126,19948293,Nanog_256_peak_1343,474,.,22.00595,52.51109,47.436609999999995,50,False
234,chr11,20475275,20475474,Nanog_256_peak_1350,218,.,10.02501,26.01812,21.815070000000002,131,False
235,chr11,20479611,20479971,Nanog_256_peak_1351,360,.,13.27142,40.755759999999995,36.006159999999994,227,False
236,chr11,21235553,21235851,Nanog_256_peak_1359,161,.,11.055710000000001,20.10841,16.16982,229,False
237,chr11,21586196,21586328,Nanog_256_peak_1362,171,.,11.09411,21.11134,17.124779999999998,94,False
238,chr11,21612077,21612304,Nanog_256_peak_1363,271,.,13.483,31.589090000000002,27.16483,102,True
239,chr11,22234082,22234216,Nanog_256_peak_1370,138,.,10.431560000000001,17.673379999999998,13.859029999999999,58,True
240,chr11,22701691,22702037,Nanog_256_peak_1375,178,.,11.56157,21.89695,17.87248,226,False
241,chr11,23696461,23696628,Nanog_256_peak_1386,196,.,12.62555,23.7273,19.61938,72,False
242,chr11,24068066,24068393,Nanog_256_peak_1391,413,.,13.19931,46.21441,41.30433,187,True
243,chr11,24123875,24124290,Nanog_256_peak_1392,160,.,10.39371,19.94629,16.01602,205,True
244,chr11,24849798,24850028,Nanog_256_peak_1400,255,.,14.360629999999999,29.902459999999998,25.54348,92,True
245,chr11,24940492,24940716,Nanog_256_peak_1401,341,.,17.355629999999998,38.80622,34.11903,103,True
246,chr11,25001760,25001967,Nanog_256_peak_1404,214,.,11.46888,25.64215,21.45399,78,True
247,chr11,25044488,25044800,Nanog_256_peak_1406,174,.,10.66536,21.44089,17.43832,171,False
248,chr11,25256903,25257384,Nanog_256_peak_1409,594,.,15.44775,64.77644000000001,59.40549,175,False
249,chr11,25273913,25274243,Nanog_256_peak_1410,281,.,12.93897,32.623259999999995,28.16242,140,False
250,chr11,25965349,25965688,Nanog_256_peak_1414,148,.,10.2212,18.69435,14.82569,220,True
251,chr11,27615413,27615624,Nanog_256_peak_1424,187,.,12.099730000000001,22.81387,18.746589999999998,100,False
252,chr11,27625162,27625403,Nanog_256_peak_1425,247,.,13.136820000000002,29.07805,24.75003,91,False
253,chr11,27965268,27965716,Nanog_256_peak_1429,951,.,24.63609,101.17238,95.13786,234,True
254,chr11,28800331,28800876,Nanog_256_peak_1432,400,.,13.2474,44.911609999999996,40.03216,409,False
255,chr11,30341338,30341557,Nanog_256_peak_1450,185,.,12.24342,22.61262,18.55379,74,False
256,chr11,30399073,30399355,Nanog_256_peak_1451,280,.,13.635629999999999,32.51011,28.05278,135,True
257,chr11,30417945,30418227,Nanog_256_peak_1452,212,.,13.02865,25.40217,21.2243,224,False
258,chr11,30539443,30539581,Nanog_256_peak_1453,161,.,11.055710000000001,20.10841,16.16982,74,False
259,chr11,31033664,31033849,Nanog_256_peak_1458,411,.,18.65883,46.062740000000005,41.15533,151,True
260,chr11,31041970,31042188,Nanog_256_peak_1459,260,.,13.56369,30.429840000000002,26.048,151,False
261,chr11,31324284,31324398,Nanog_256_peak_1462,145,.,10.544130000000001,18.423920000000003,14.569270000000001,65,False
262,chr11,31698473,31698695,Nanog_256_peak_1468,151,.,11.029160000000001,19.04251,15.15685,113,False
263,chr11,33117174,33117350,Nanog_256_peak_1480,186,.,12.070160000000001,22.763070000000003,18.69787,97,True
264,chr11,35048567,35048996,Nanog_256_peak_1489,944,.,21.85292,100.51834000000001,94.49524,312,True
265,chr11,35066211,35066503,Nanog_256_peak_1491,505,.,18.7233,55.67629,50.514379999999996,126,False
266,chr11,35066865,35066970,Nanog_256_peak_1492,214,.,10.8019,25.6772,21.4872,40,False
267,chr11,35141473,35141816,Nanog_256_peak_1497,1356,.,26.28759,142.03753999999998,135.60103,162,False
268,chr11,35619369,35619511,Nanog_256_peak_1502,129,.,10.002310000000001,16.67834,12.91665,66,True
269,chr11,36183115,36183338,Nanog_256_peak_1506,179,.,12.26402,21.939120000000003,17.91255,135,False
