,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain nanog motif,1k-cell new peak,in genome bin binding from 256-cell
20,chr1,5966017,5966175,Nanog_1k_peak_90,524,.,22.398310000000002,57.14286,52.46638000000001,78,True,False,True
21,chr1,6164489,6164652,Nanog_1k_peak_95,225,.,13.212679999999999,26.246740000000003,22.52597,91,False,True,False
22,chr1,7064949,7065481,Nanog_1k_peak_109,552,.,16.07961,60.02565,55.266909999999996,143,False,False,True
23,chr1,7129014,7129259,Nanog_1k_peak_112,146,.,10.31855,18.02511,14.64294,159,False,True,False
24,chr1,7257866,7258116,Nanog_1k_peak_117,322,.,13.881570000000002,36.33672,32.26998,65,True,True,False
25,chr1,7514174,7514433,Nanog_1k_peak_120,179,.,11.821060000000001,21.4508,17.91872,162,False,True,False
26,chr1,7698273,7698478,Nanog_1k_peak_125,168,.,10.64213,20.35835,16.872429999999998,29,True,True,False
27,chr1,7836017,7836285,Nanog_1k_peak_128,200,.,11.99802,23.65953,20.035870000000003,174,False,True,False
28,chr1,7916780,7916970,Nanog_1k_peak_129,257,.,14.539079999999998,29.62136,25.77835,130,False,False,True
29,chr1,8534357,8534635,Nanog_1k_peak_135,138,.,10.17239,17.164920000000002,13.82236,67,False,True,False
30,chr1,8552691,8553065,Nanog_1k_peak_137,175,.,10.75436,21.05793,17.541710000000002,316,False,True,False
31,chr1,8693944,8694178,Nanog_1k_peak_143,182,.,11.171669999999999,21.75129,18.20702,95,False,True,False
32,chr1,8736991,8737187,Nanog_1k_peak_144,165,.,10.74877,20.044970000000003,16.57246,92,False,True,False
33,chr1,8977933,8978042,Nanog_1k_peak_147,157,.,11.09259,19.168210000000002,15.73396,44,True,True,False
34,chr1,9289793,9290056,Nanog_1k_peak_158,294,.,11.96215,33.45364,29.48064,218,False,True,False
35,chr1,9721226,9721428,Nanog_1k_peak_172,212,.,10.71983,24.93978,21.2672,118,False,True,False
36,chr1,9735234,9735479,Nanog_1k_peak_173,152,.,10.49018,18.71336,15.29931,196,True,True,False
37,chr1,9984712,9985058,Nanog_1k_peak_177,182,.,12.03181,21.83088,18.28312,120,False,True,False
38,chr1,10107429,10107841,Nanog_1k_peak_181,645,.,17.856360000000002,69.57413000000001,64.5629,241,True,False,True
39,chr1,10473588,10473708,Nanog_1k_peak_192,154,.,10.58946,18.88443,15.46318,75,False,True,False
40,chr1,10495877,10496080,Nanog_1k_peak_193,268,.,14.09307,30.68325,26.8037,66,False,True,False
41,chr1,10582155,10582249,Nanog_1k_peak_196,192,.,12.576319999999999,22.83932,19.249760000000002,63,False,True,True
42,chr1,10598829,10599397,Nanog_1k_peak_199,604,.,10.96785,65.3622,60.45778000000001,273,False,False,True
43,chr1,10848583,10848713,Nanog_1k_peak_205,136,.,10.062610000000001,16.9543,13.62146,43,True,True,False
44,chr1,10967228,10967425,Nanog_1k_peak_209,221,.,13.01102,25.9051,22.19641,120,False,True,False
45,chr1,10974381,10974546,Nanog_1k_peak_211,224,.,10.405560000000001,26.14686,22.42996,113,False,True,False
46,chr1,10975179,10975417,Nanog_1k_peak_212,249,.,11.17281,28.78153,24.968410000000002,97,False,True,False
47,chr1,11495586,11495825,Nanog_1k_peak_221,208,.,11.13982,24.49008,20.83512,76,False,False,True
48,chr1,11614396,11614598,Nanog_1k_peak_227,189,.,12.16917,22.48116,18.905820000000002,66,True,True,False
49,chr1,11625381,11625637,Nanog_1k_peak_228,151,.,10.39274,18.54625,15.140239999999999,140,True,True,False
50,chr1,11878229,11878706,Nanog_1k_peak_232,232,.,11.8861,26.959540000000004,23.21252,130,False,False,True
51,chr1,12348045,12348334,Nanog_1k_peak_240,231,.,13.892560000000001,26.903059999999996,23.15855,150,False,True,False
52,chr1,12513420,12513713,Nanog_1k_peak_243,204,.,12.80898,24.05097,20.4122,249,False,True,False
53,chr1,12971362,12971498,Nanog_1k_peak_248,148,.,10.72836,18.27757,14.88365,76,False,True,False
54,chr1,13425608,13425749,Nanog_1k_peak_263,192,.,12.69149,22.79206,19.20421,97,True,True,False
55,chr1,13533664,13533817,Nanog_1k_peak_264,191,.,12.28947,22.69443,19.11036,53,False,True,True
56,chr1,13597724,13597938,Nanog_1k_peak_265,1013,.,37.71727,107.16176999999999,101.37819,59,False,False,True
57,chr1,13602991,13603147,Nanog_1k_peak_266,467,.,20.81754,51.262209999999996,46.747890000000005,90,True,False,True
58,chr1,13695726,13695982,Nanog_1k_peak_270,268,.,14.14838,30.776020000000003,26.89338,111,False,True,True
59,chr1,13825037,13825488,Nanog_1k_peak_272,238,.,12.99415,27.608909999999998,23.83795,184,False,True,False
60,chr1,13966914,13967133,Nanog_1k_peak_273,229,.,13.481329999999998,26.70433,22.96663,96,False,True,False
61,chr1,14339643,14339817,Nanog_1k_peak_280,141,.,10.23633,17.54168,14.181389999999999,94,False,True,False
62,chr1,14498160,14498340,Nanog_1k_peak_285,214,.,12.86149,25.11666,21.43759,113,True,True,False
63,chr1,14507418,14507694,Nanog_1k_peak_286,398,.,13.57744,44.19704,39.89564,132,False,True,True
64,chr1,14509810,14510117,Nanog_1k_peak_287,443,.,14.762920000000001,48.82889,44.389340000000004,161,False,False,True
65,chr1,15330741,15330968,Nanog_1k_peak_294,251,.,13.79521,28.9505,25.13135,118,False,False,True
66,chr1,15517857,15518218,Nanog_1k_peak_295,674,.,23.82365,72.58338,67.49462,280,True,False,True
67,chr1,15565749,15565897,Nanog_1k_peak_297,165,.,11.40429,20.00881,16.53736,83,False,True,True
68,chr1,15911361,15911513,Nanog_1k_peak_304,170,.,10.44629,20.54704,17.052970000000002,101,False,True,True
69,chr1,15921150,15921501,Nanog_1k_peak_307,438,.,13.47074,48.23769,43.815940000000005,202,True,True,True
70,chr1,15927133,15927418,Nanog_1k_peak_309,393,.,14.38045,43.65862,39.371340000000004,162,False,False,True
71,chr1,16400103,16400284,Nanog_1k_peak_319,166,.,11.047080000000001,20.09355,16.61917,96,True,True,False
72,chr1,16507816,16507985,Nanog_1k_peak_321,244,.,14.07485,28.265009999999997,24.47103,88,False,True,False
73,chr1,16563763,16564121,Nanog_1k_peak_322,635,.,16.011879999999998,68.49883,63.51323000000001,229,False,True,False
74,chr1,16565156,16565449,Nanog_1k_peak_323,445,.,12.88364,48.994690000000006,44.54981,130,True,True,False
75,chr1,16594543,16594859,Nanog_1k_peak_325,163,.,10.894219999999999,19.831429999999997,16.36819,269,False,True,False
76,chr1,16721016,16721322,Nanog_1k_peak_326,242,.,14.25419,28.0406,24.2546,105,False,True,False
77,chr1,16761075,16761397,Nanog_1k_peak_329,239,.,11.29159,27.763340000000003,23.98734,235,False,True,False
78,chr1,17209596,17209737,Nanog_1k_peak_331,201,.,13.13858,23.73064,20.104210000000002,61,False,False,True
79,chr1,17355454,17355647,Nanog_1k_peak_334,185,.,11.69052,22.115270000000002,18.55419,52,True,True,False
80,chr1,17377162,17377453,Nanog_1k_peak_335,186,.,11.45234,22.21927,18.654239999999998,128,False,True,False
81,chr1,17857275,17857554,Nanog_1k_peak_344,494,.,20.584329999999998,54.05325,49.458909999999996,110,True,False,True
82,chr1,17879260,17879454,Nanog_1k_peak_345,231,.,14.319460000000001,26.855079999999997,23.11218,136,False,True,True
83,chr1,18029672,18029841,Nanog_1k_peak_350,213,.,13.3664,25.05395,21.37687,98,True,True,False
84,chr1,18061110,18061192,Nanog_1k_peak_351,148,.,10.72836,18.27757,14.88365,14,False,True,False
85,chr1,18269411,18269700,Nanog_1k_peak_357,219,.,13.865739999999999,25.652639999999998,21.95394,105,False,True,False
86,chr1,18383488,18383876,Nanog_1k_peak_360,167,.,10.84252,20.20221,16.72332,325,False,True,False
87,chr1,18416197,18416351,Nanog_1k_peak_361,152,.,10.49018,18.71336,15.29931,85,True,True,False
88,chr1,18710689,18711114,Nanog_1k_peak_372,342,.,15.471060000000001,38.4173,34.28652,156,False,False,True
89,chr1,18950500,18950583,Nanog_1k_peak_375,149,.,10.2971,18.3829,14.98439,46,False,True,False
90,chr1,18950709,18950798,Nanog_1k_peak_376,418,.,20.49987,46.260909999999996,41.8998,51,True,True,False
91,chr1,19022974,19023331,Nanog_1k_peak_378,158,.,11.01785,19.28266,15.843960000000001,237,False,True,False
92,chr1,19649920,19650370,Nanog_1k_peak_387,1014,.,19.93313,107.21673,101.43295,78,False,False,True
93,chr1,19671860,19672209,Nanog_1k_peak_390,411,.,12.85287,45.4393,41.10132,297,True,True,True
94,chr1,19900353,19900631,Nanog_1k_peak_397,212,.,12.7753,24.96994,21.29629,156,False,True,False
95,chr1,20422158,20422264,Nanog_1k_peak_402,144,.,10.5166,17.84395,14.469879999999998,47,True,True,False
96,chr1,20818393,20818707,Nanog_1k_peak_410,366,.,14.068470000000001,40.90076,36.69539,184,True,True,False
97,chr1,20928745,20928951,Nanog_1k_peak_413,198,.,12.72991,23.48789,19.8714,95,True,True,False
98,chr1,21209701,21210082,Nanog_1k_peak_415,247,.,13.21954,28.59546,24.788870000000003,90,False,False,True
99,chr1,21291687,21292018,Nanog_1k_peak_417,616,.,19.22699,66.60416,61.666959999999996,167,False,False,True
100,chr1,21296945,21297377,Nanog_1k_peak_419,574,.,16.3671,62.23409,57.41786999999999,243,True,False,True
101,chr1,21730055,21730297,Nanog_1k_peak_425,289,.,12.7392,32.9282,28.97427,102,False,True,False
102,chr1,21735143,21735554,Nanog_1k_peak_427,419,.,13.24594,46.31779,41.95556,211,False,True,False
103,chr1,23408581,23408772,Nanog_1k_peak_452,256,.,14.473970000000001,29.51008,25.671039999999998,53,False,True,True
104,chr1,23489793,23489973,Nanog_1k_peak_455,291,.,15.87164,33.07537,29.115340000000003,133,True,False,True
105,chr1,23998739,23999006,Nanog_1k_peak_464,188,.,11.59803,22.46294,18.888479999999998,150,True,True,False
106,chr1,24233351,24233497,Nanog_1k_peak_469,382,.,19.09855,42.46347,38.21139,100,True,False,True
107,chr1,24563837,24564036,Nanog_1k_peak_472,142,.,10.3993,17.609189999999998,14.24584,154,True,True,False
108,chr1,24873279,24873705,Nanog_1k_peak_483,1112,.,20.029629999999997,117.19093000000001,111.27017,62,False,False,True
109,chr1,24901922,24902407,Nanog_1k_peak_484,478,.,17.35559,52.354890000000005,47.809740000000005,192,False,True,True
110,chr1,24938662,24939061,Nanog_1k_peak_488,530,.,13.54468,57.74523000000001,53.05046,206,True,False,True
111,chr1,24989888,24990026,Nanog_1k_peak_491,172,.,11.44865,20.79087,17.28581,67,True,True,True
112,chr1,25378767,25378947,Nanog_1k_peak_495,183,.,11.53555,21.853,18.30428,62,True,True,False
113,chr1,25461614,25461753,Nanog_1k_peak_496,170,.,11.545580000000001,20.58223,17.086389999999998,97,False,True,True
114,chr1,25565946,25566081,Nanog_1k_peak_499,327,.,18.43672,36.838440000000006,32.75597,48,False,False,True
115,chr1,25687575,25687778,Nanog_1k_peak_503,195,.,11.97901,23.10323,19.502270000000003,112,False,False,True
116,chr1,25801412,25801697,Nanog_1k_peak_506,493,.,20.54735,53.98999,49.39759,140,False,False,True
117,chr1,26071547,26071813,Nanog_1k_peak_510,325,.,14.42775,36.60804,32.53266,85,False,False,True
118,chr1,26294227,26294467,Nanog_1k_peak_515,274,.,10.301,31.34277,27.4404,108,True,True,False
119,chr1,26357986,26358319,Nanog_1k_peak_519,186,.,11.47637,22.259420000000002,18.69281,143,False,True,True
120,chr1,26394280,26394665,Nanog_1k_peak_521,422,.,14.788789999999999,46.65894,42.28653,290,True,False,True
121,chr1,26617365,26617844,Nanog_1k_peak_527,660,.,17.082629999999998,71.07818,66.02611,168,True,False,True
122,chr1,26642683,26643019,Nanog_1k_peak_529,304,.,14.386,34.46775,30.46136,144,True,False,True
123,chr1,26663694,26663858,Nanog_1k_peak_530,172,.,10.236889999999999,20.72772,17.22555,87,True,True,True
124,chr1,26673348,26673878,Nanog_1k_peak_531,558,.,14.66796,60.57904,55.80607,161,False,False,True
125,chr1,26840701,26841010,Nanog_1k_peak_536,229,.,12.46343,26.7208,22.98254,67,False,True,True
126,chr1,26851261,26851481,Nanog_1k_peak_537,410,.,17.80224,45.362840000000006,41.02782,100,False,False,True
127,chr1,26882374,26882619,Nanog_1k_peak_539,176,.,10.172130000000001,21.158620000000003,17.63853,145,True,True,True
128,chr1,26915036,26915347,Nanog_1k_peak_544,519,.,12.34939,56.60921999999999,51.94735,202,True,False,True
129,chr1,27135866,27136268,Nanog_1k_peak_553,365,.,11.425310000000001,40.79874,36.59648,301,True,False,True
130,chr1,27541949,27542065,Nanog_1k_peak_559,425,.,21.90139,46.89394,42.51303,58,False,False,True
131,chr1,27561205,27561518,Nanog_1k_peak_561,213,.,12.8039,25.01859,21.34299,196,True,False,True
132,chr1,28249833,28250159,Nanog_1k_peak_566,181,.,11.97083,21.72038,18.17715,111,False,True,False
133,chr1,28364875,28365083,Nanog_1k_peak_567,319,.,16.11802,36.03999,31.9831,167,False,True,False
134,chr1,28760927,28761201,Nanog_1k_peak_574,138,.,10.029869999999999,17.168670000000002,13.82571,94,False,True,False
135,chr1,28904616,28904911,Nanog_1k_peak_578,152,.,10.65674,18.6253,15.21553,77,True,True,False
136,chr1,29139099,29139347,Nanog_1k_peak_581,247,.,13.57209,28.5763,24.77011,40,False,True,False
137,chr1,29226820,29227006,Nanog_1k_peak_583,291,.,15.87164,33.07537,29.115340000000003,112,False,False,True
138,chr1,29463127,29463358,Nanog_1k_peak_585,323,.,14.337810000000001,36.45044,32.38017,103,True,False,True
139,chr1,29855198,29855492,Nanog_1k_peak_594,688,.,18.34285,73.98396,68.85840999999999,193,False,False,True
140,chr1,29877755,29878027,Nanog_1k_peak_599,175,.,10.46162,21.10202,17.58376,113,False,True,True
141,chr1,29880605,29880853,Nanog_1k_peak_600,171,.,10.5267,20.68036,17.180429999999998,184,False,True,True
142,chr1,29893987,29894454,Nanog_1k_peak_601,381,.,15.237960000000001,42.35147,38.10273,132,False,False,True
143,chr1,30059226,30059750,Nanog_1k_peak_604,223,.,11.72755,26.0826,22.36825,153,False,True,True
144,chr1,30067427,30067672,Nanog_1k_peak_605,146,.,10.29342,17.98104,14.6007,91,True,True,True
145,chr1,30075089,30075398,Nanog_1k_peak_606,767,.,28.19158,82.0564,76.74553,161,True,False,True
146,chr1,30080612,30080822,Nanog_1k_peak_607,138,.,10.17239,17.164920000000002,13.82236,153,False,True,True
147,chr1,30231098,30231181,Nanog_1k_peak_609,202,.,13.20488,23.87456,20.24245,60,False,True,False
148,chr1,30359895,30360284,Nanog_1k_peak_613,217,.,10.98103,25.39728,21.70759,337,True,True,False
149,chr1,30723246,30723429,Nanog_1k_peak_617,187,.,10.55997,22.36346,18.79287,112,False,True,False
150,chr1,30757177,30757365,Nanog_1k_peak_619,216,.,13.5397,25.37255,21.68362,133,False,True,False
151,chr1,31105854,31106375,Nanog_1k_peak_627,169,.,10.38678,20.44838,16.95844,416,False,True,False
152,chr1,31421387,31421627,Nanog_1k_peak_630,258,.,13.11766,29.676909999999996,25.83175,91,False,False,True
153,chr1,31534002,31534205,Nanog_1k_peak_636,214,.,11.18133,25.14996,21.46964,82,True,False,True
154,chr1,31544623,31544831,Nanog_1k_peak_638,492,.,19.047279999999997,53.81961999999999,49.2331,87,True,False,True
155,chr1,31724979,31725151,Nanog_1k_peak_643,283,.,16.055670000000003,32.27391,28.34105,97,True,False,True
156,chr1,31762551,31762759,Nanog_1k_peak_645,319,.,17.22381,36.022079999999995,31.96555,175,False,False,True
157,chr1,31771386,31771677,Nanog_1k_peak_646,149,.,10.759310000000001,18.34207,14.945079999999999,63,False,True,True
158,chr1,32117802,32118052,Nanog_1k_peak_649,268,.,14.83143,30.700870000000002,26.82071,119,True,True,False
159,chr1,33158332,33158575,Nanog_1k_peak_660,148,.,10.69759,18.213729999999998,14.82271,164,True,True,False
160,chr1,33596006,33596173,Nanog_1k_peak_667,147,.,10.636569999999999,18.088,14.70284,85,False,True,False
161,chr1,33647468,33647642,Nanog_1k_peak_668,369,.,17.95647,41.208,36.99276,116,False,False,True
162,chr1,34010167,34010368,Nanog_1k_peak_673,388,.,19.49493,43.14963,38.87727,63,False,True,False
163,chr1,34111377,34111654,Nanog_1k_peak_678,212,.,12.41548,24.903489999999998,21.23272,193,False,True,True
164,chr1,34137991,34138218,Nanog_1k_peak_679,260,.,15.275889999999999,29.86955,26.016820000000003,174,True,False,True
165,chr1,34350672,34350929,Nanog_1k_peak_685,178,.,10.33062,21.42485,17.894270000000002,123,False,False,True
166,chr1,34355807,34356308,Nanog_1k_peak_686,240,.,12.0186,27.80289,24.02541,95,False,False,True
167,chr1,35494748,35494897,Nanog_1k_peak_690,203,.,10.50638,23.981679999999997,20.34539,75,False,True,False
168,chr1,35511427,35511669,Nanog_1k_peak_691,158,.,10.81987,19.28474,15.84591,41,False,True,False
169,chr1,35638974,35639298,Nanog_1k_peak_693,201,.,12.35788,23.74563,20.118470000000002,126,False,True,False
170,chr1,35791769,35792164,Nanog_1k_peak_700,340,.,10.88012,38.22469,34.099579999999996,299,True,True,False
171,chr1,36150845,36150961,Nanog_1k_peak_705,143,.,10.31596,17.687279999999998,14.320279999999999,28,True,True,False
172,chr1,36379727,36379914,Nanog_1k_peak_708,171,.,11.08419,20.6094,17.112379999999998,60,True,True,False
173,chr1,36442890,36443383,Nanog_1k_peak_711,660,.,17.81866,71.13973,66.08631,300,False,False,True
174,chr1,36674503,36674722,Nanog_1k_peak_719,171,.,11.81751,20.68265,17.182570000000002,97,True,True,False
175,chr1,37542918,37543201,Nanog_1k_peak_738,234,.,14.29566,27.180840000000003,23.42575,191,False,True,False
176,chr1,37561823,37562047,Nanog_1k_peak_739,134,.,10.042019999999999,16.7609,13.438220000000001,96,True,True,False
177,chr1,37868498,37868682,Nanog_1k_peak_741,181,.,11.4596,21.72484,18.18139,121,False,True,False
178,chr1,37869428,37869617,Nanog_1k_peak_742,233,.,13.406989999999999,27.129890000000003,23.37663,124,True,True,False
179,chr1,37896103,37896380,Nanog_1k_peak_743,156,.,10.19771,19.12679,15.69454,205,True,True,False
180,chr1,38173699,38173918,Nanog_1k_peak_749,548,.,14.27735,59.61059,54.86233000000001,127,True,False,True
181,chr1,38182644,38182915,Nanog_1k_peak_753,262,.,10.01938,30.138340000000003,26.27686,131,False,True,True
182,chr1,38361114,38361267,Nanog_1k_peak_762,303,.,16.289939999999998,34.39933,30.39524,94,False,True,False
183,chr1,38379140,38379364,Nanog_1k_peak_764,363,.,17.12664,40.51762,36.32369,140,False,True,False
184,chr1,38550581,38551075,Nanog_1k_peak_767,298,.,12.172369999999999,33.85711,29.870279999999998,163,False,True,False
185,chr1,38698638,38698853,Nanog_1k_peak_768,232,.,12.264710000000001,26.99162,23.24331,85,False,True,False
186,chr1,38708498,38709085,Nanog_1k_peak_769,526,.,16.29293,57.35253,52.670559999999995,334,True,False,True
187,chr1,38758319,38758497,Nanog_1k_peak_770,283,.,12.38663,32.288140000000006,28.35489,54,False,True,True
188,chr1,38815456,38815644,Nanog_1k_peak_774,182,.,10.87957,21.796879999999998,18.25054,106,False,True,False
189,chr1,38816718,38816870,Nanog_1k_peak_775,237,.,12.96905,27.56692,23.79772,79,False,True,False
190,chr1,38977879,38978132,Nanog_1k_peak_780,209,.,12.237260000000001,24.60537,20.94589,179,False,True,False
191,chr1,38984781,38984969,Nanog_1k_peak_781,241,.,14.454379999999999,27.90833,24.1274,90,False,True,False
192,chr1,39062439,39062770,Nanog_1k_peak_782,236,.,13.257029999999999,27.45392,23.68877,194,False,True,False
193,chr1,39184768,39184990,Nanog_1k_peak_788,166,.,11.46617,20.12755,16.65191,112,True,True,False
194,chr1,39433416,39433671,Nanog_1k_peak_797,331,.,11.60412,37.29249,33.19447,66,False,True,False
195,chr1,39761737,39761981,Nanog_1k_peak_804,231,.,12.200239999999999,26.88285,23.13909,99,False,True,False
196,chr1,39863735,39863899,Nanog_1k_peak_806,297,.,13.981520000000002,33.77406,29.789720000000003,68,False,True,True
197,chr1,39865568,39865700,Nanog_1k_peak_807,189,.,10.29995,22.48272,18.90727,59,False,True,True
198,chr1,39872672,39873130,Nanog_1k_peak_808,345,.,13.621670000000002,38.64315,34.50577,135,True,False,True
199,chr1,39888494,39888869,Nanog_1k_peak_809,163,.,10.894219999999999,19.831429999999997,16.36819,73,False,True,True
200,chr1,39930130,39930358,Nanog_1k_peak_810,187,.,10.83717,22.27221,18.70518,67,False,True,False
201,chr1,40120545,40120924,Nanog_1k_peak_816,317,.,15.159939999999999,35.785109999999996,31.737309999999997,61,False,False,True
202,chr1,40131606,40131847,Nanog_1k_peak_817,578,.,19.36251,62.658480000000004,57.83043000000001,153,True,False,True
203,chr1,40227396,40227506,Nanog_1k_peak_819,171,.,11.39343,20.69416,17.19334,49,False,True,False
204,chr1,40238578,40238760,Nanog_1k_peak_820,149,.,10.24993,18.3026,14.90763,63,False,True,False
205,chr1,40481313,40481637,Nanog_1k_peak_823,355,.,16.64881,39.709790000000005,35.54015,273,False,False,True
206,chr1,40518128,40518322,Nanog_1k_peak_824,254,.,14.31374,29.23688,25.40803,52,True,False,True
207,chr1,40647063,40647495,Nanog_1k_peak_826,315,.,15.025210000000001,35.55656,31.51553,407,False,False,True
208,chr1,40912747,40913165,Nanog_1k_peak_834,407,.,10.83644,45.08664,40.75881,285,True,False,True
209,chr1,40966803,40967016,Nanog_1k_peak_838,249,.,14.36764,28.768390000000004,24.955820000000003,152,False,False,True
210,chr1,41099906,41100062,Nanog_1k_peak_841,154,.,10.01291,18.82065,15.402029999999998,47,False,True,False
211,chr1,41131029,41131208,Nanog_1k_peak_847,171,.,10.79616,20.6144,17.11709,36,False,True,False
212,chr1,41827144,41827447,Nanog_1k_peak_867,243,.,12.92503,28.101779999999998,24.31381,186,False,True,False
213,chr1,41852417,41852721,Nanog_1k_peak_868,216,.,13.007760000000001,25.36642,21.67778,109,False,True,False
214,chr1,42531036,42531375,Nanog_1k_peak_880,228,.,11.30803,26.56973,22.83694,198,True,True,False
215,chr1,43041086,43041479,Nanog_1k_peak_889,168,.,10.59892,20.28661,16.80409,170,True,True,False
216,chr1,43222872,43222997,Nanog_1k_peak_890,148,.,10.44605,18.2498,14.85711,48,True,True,False
217,chr1,43298211,43298524,Nanog_1k_peak_891,209,.,12.88172,24.645960000000002,20.98463,221,True,True,False
218,chr1,43723337,43723466,Nanog_1k_peak_900,198,.,10.228530000000001,23.49444,19.87758,41,False,True,False
219,chr1,43835947,43836130,Nanog_1k_peak_904,292,.,15.585720000000002,33.19733,29.232359999999996,68,True,False,True
220,chr1,43847729,43847942,Nanog_1k_peak_905,179,.,11.60137,21.491329999999998,17.95799,103,True,True,True
221,chr1,44012858,44013344,Nanog_1k_peak_910,960,.,24.01219,101.72707,96.03004,181,True,False,True
222,chr1,44037050,44037263,Nanog_1k_peak_911,215,.,12.91961,25.21576,21.532629999999997,58,True,True,True
223,chr1,44050939,44051359,Nanog_1k_peak_912,512,.,11.63315,55.850680000000004,51.20876,220,True,True,True
224,chr1,44396532,44396635,Nanog_1k_peak_916,144,.,10.52796,17.81863,14.445979999999999,58,False,True,False
225,chr1,44523396,44523524,Nanog_1k_peak_917,214,.,13.40071,25.11674,21.43766,72,False,True,False
226,chr1,44581975,44582102,Nanog_1k_peak_918,317,.,16.738220000000002,35.78973,31.74172,56,False,True,False
227,chr1,44702852,44703085,Nanog_1k_peak_919,194,.,10.96996,23.05288,19.4543,68,False,True,False
228,chr1,44704120,44704502,Nanog_1k_peak_920,194,.,10.96996,23.05288,19.4543,42,False,True,False
229,chr1,44838628,44838713,Nanog_1k_peak_923,187,.,10.50642,22.27311,18.70593,37,False,True,False
230,chr1,44839095,44839334,Nanog_1k_peak_924,387,.,16.89595,43.05458,38.78518,52,False,True,False
231,chr1,45003046,45003353,Nanog_1k_peak_929,306,.,12.26887,34.70217,30.688259999999996,198,False,False,True
232,chr1,45708339,45708523,Nanog_1k_peak_938,258,.,11.01481,29.72283,25.87633,62,True,True,False
233,chr1,45710633,45710850,Nanog_1k_peak_939,231,.,10.786439999999999,26.84812,23.10539,138,True,True,False
234,chr1,45716238,45716677,Nanog_1k_peak_940,457,.,18.81615,50.211209999999994,45.72953,224,False,True,False
235,chr1,45852869,45853219,Nanog_1k_peak_946,201,.,12.35788,23.74563,20.118470000000002,148,False,True,False
236,chr1,45920610,45920757,Nanog_1k_peak_947,188,.,11.54906,22.38096,18.80954,60,False,True,False
237,chr1,46115056,46115389,Nanog_1k_peak_952,597,.,15.371410000000001,64.58927,59.70755,169,True,False,True
238,chr1,46192666,46192853,Nanog_1k_peak_954,282,.,15.00204,32.21053,28.279559999999996,94,False,True,True
239,chr1,46223382,46223733,Nanog_1k_peak_957,184,.,10.68197,22.01308,18.45737,51,True,True,False
240,chr1,46389634,46389846,Nanog_1k_peak_965,188,.,12.1099,22.37658,18.80521,110,True,True,False
241,chr1,46819002,46819238,Nanog_1k_peak_973,136,.,10.062610000000001,16.9543,13.62146,164,False,True,True
242,chr1,46832653,46832962,Nanog_1k_peak_975,482,.,13.58646,52.80483,48.24751,156,False,False,True
243,chr1,46924113,46924237,Nanog_1k_peak_978,167,.,11.3696,20.261789999999998,16.780279999999998,83,False,True,False
244,chr1,47122822,47123010,Nanog_1k_peak_981,148,.,10.69759,18.213729999999998,14.82271,95,True,False,True
245,chr1,47176689,47176848,Nanog_1k_peak_982,325,.,10.736180000000001,36.62843,32.55237,57,True,True,True
