,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,FitCUT&RUN specific,contain nanog motif,dome new peak
138,chr1,15681250,15681846,Nanog_dome_peak_431,306,.,11.510069999999999,33.85743,30.6772,167,True,True,True
139,chr1,15781926,15782159,Nanog_dome_peak_433,184,.,11.9745,21.38199,18.467570000000002,99,True,False,True
140,chr1,15911405,15911529,Nanog_dome_peak_439,709,.,23.05058,74.79168,70.99535,56,False,False,False
141,chr1,15913702,15913844,Nanog_dome_peak_440,227,.,10.19571,25.75592,22.73934,57,True,False,True
142,chr1,15919181,15919358,Nanog_dome_peak_442,311,.,12.42602,34.339659999999995,31.14988,88,True,True,True
143,chr1,15921226,15921466,Nanog_dome_peak_443,201,.,10.003860000000001,23.09732,20.14086,59,True,False,False
144,chr1,15926348,15926500,Nanog_dome_peak_444,245,.,12.9953,27.61082,24.554289999999998,66,True,True,True
145,chr1,15927167,15927393,Nanog_dome_peak_445,317,.,15.84811,34.92191,31.72145,143,False,False,False
146,chr1,15957194,15957454,Nanog_dome_peak_447,503,.,20.940360000000002,53.8521,50.342209999999994,134,True,True,True
147,chr1,15989496,15989946,Nanog_dome_peak_450,526,.,18.57412,56.21793,52.6734,232,False,False,True
148,chr1,16458564,16459062,Nanog_dome_peak_459,208,.,11.43275,23.82725,20.8539,336,True,False,True
149,chr1,16507804,16508079,Nanog_dome_peak_460,525,.,23.17522,56.060190000000006,52.518080000000005,91,True,False,False
150,chr1,16538315,16538572,Nanog_dome_peak_461,212,.,12.34027,24.23405,21.25146,155,True,False,True
151,chr1,16540445,16540620,Nanog_dome_peak_462,254,.,13.887379999999999,28.5141,25.43873,64,True,True,True
152,chr1,16563741,16564123,Nanog_dome_peak_463,1058,.,20.029870000000003,110.13108000000001,105.89152,272,False,False,False
153,chr1,16565191,16565428,Nanog_dome_peak_464,392,.,10.619489999999999,42.60396,39.27029,106,True,True,False
154,chr1,16594306,16594906,Nanog_dome_peak_466,254,.,13.57046,28.573559999999997,25.49684,72,False,True,False
155,chr1,16635531,16635641,Nanog_dome_peak_469,139,.,10.00273,16.71913,13.9292,57,True,False,True
156,chr1,16720934,16721350,Nanog_dome_peak_473,1047,.,28.976229999999997,108.95815,104.73340999999999,271,False,False,False
157,chr1,16759155,16759433,Nanog_dome_peak_476,771,.,19.55774,80.97825,77.10103000000001,168,False,False,True
158,chr1,16778937,16779193,Nanog_dome_peak_480,244,.,13.26353,27.464809999999996,24.411170000000002,169,False,True,True
159,chr1,17317006,17317256,Nanog_dome_peak_490,264,.,15.1223,29.58898,26.49145,147,True,True,True
160,chr1,17355455,17355677,Nanog_dome_peak_491,508,.,19.33135,54.32136,50.80474,81,False,True,False
161,chr1,17377171,17377482,Nanog_dome_peak_496,325,.,14.321079999999998,35.72762,32.51239,134,True,False,False
162,chr1,17384391,17384641,Nanog_dome_peak_498,369,.,15.72435,40.293240000000004,36.998259999999995,97,True,False,True
163,chr1,17695287,17695491,Nanog_dome_peak_512,159,.,10.53454,18.78969,15.942060000000001,78,True,False,True
164,chr1,17857303,17857548,Nanog_dome_peak_513,198,.,12.56962,22.82666,19.876620000000003,91,True,True,False
165,chr1,17879117,17879466,Nanog_dome_peak_514,394,.,18.48351,42.810990000000004,39.4739,271,False,False,False
166,chr1,17885230,17885347,Nanog_dome_peak_515,184,.,12.13326,21.396929999999998,18.482110000000002,49,True,True,True
167,chr1,18029652,18029869,Nanog_dome_peak_518,314,.,16.757179999999998,34.61848,31.423470000000002,142,True,True,False
168,chr1,18061078,18061189,Nanog_dome_peak_520,185,.,12.12073,21.43405,18.51816,44,False,False,False
169,chr1,18122522,18122737,Nanog_dome_peak_521,203,.,11.481860000000001,23.3462,20.38403,124,True,True,True
170,chr1,18341987,18342099,Nanog_dome_peak_526,184,.,10.91933,21.33178,18.418470000000003,68,True,False,True
171,chr1,18343570,18343854,Nanog_dome_peak_527,290,.,14.58642,32.14888,29.00119,124,True,True,True
172,chr1,18383529,18383863,Nanog_dome_peak_529,376,.,16.1335,41.00209,37.69505,235,False,False,False
173,chr1,18424518,18425033,Nanog_dome_peak_531,200,.,11.910919999999999,22.988429999999997,20.03463,105,True,False,True
174,chr1,18440485,18441080,Nanog_dome_peak_535,177,.,10.80531,20.629620000000003,17.73396,88,True,False,True
175,chr1,18543504,18543777,Nanog_dome_peak_536,225,.,13.665289999999999,25.60568,22.5925,160,False,False,True
176,chr1,18613056,18613376,Nanog_dome_peak_539,269,.,12.603710000000001,30.076759999999997,26.96968,103,False,False,True
177,chr1,18642118,18642269,Nanog_dome_peak_544,193,.,10.19002,22.29413,19.35683,55,True,False,True
178,chr1,18710692,18711074,Nanog_dome_peak_545,889,.,24.81333,92.98364000000001,88.95496,90,False,False,False
179,chr1,18750015,18750185,Nanog_dome_peak_546,205,.,12.50512,23.5163,20.55017,89,True,False,True
180,chr1,18844154,18844399,Nanog_dome_peak_548,414,.,19.669220000000003,44.82936,41.45916,150,True,False,True
181,chr1,19095136,19095339,Nanog_dome_peak_556,308,.,13.341829999999998,34.00737,30.82423,136,False,False,True
182,chr1,19169493,19169682,Nanog_dome_peak_560,261,.,15.36411,29.2515,26.16071,102,True,True,True
183,chr1,19410060,19410308,Nanog_dome_peak_565,309,.,17.05857,34.11868,30.933429999999998,100,False,False,True
184,chr1,19415321,19415606,Nanog_dome_peak_566,234,.,13.93575,26.517490000000002,23.48426,148,False,False,True
185,chr1,19649919,19650370,Nanog_dome_peak_572,2447,.,23.672,250.56201000000001,244.71997000000002,79,False,False,False
186,chr1,19659050,19659372,Nanog_dome_peak_574,822,.,13.38185,86.14493,82.20191,161,False,False,True
187,chr1,19659834,19660166,Nanog_dome_peak_575,1607,.,20.875339999999998,165.68237,160.79475,171,True,True,True
188,chr1,19671810,19672237,Nanog_dome_peak_578,1387,.,15.27527,143.39588999999998,138.75793000000002,324,False,True,False
189,chr1,19697497,19697628,Nanog_dome_peak_585,394,.,19.283360000000002,42.782759999999996,39.446059999999996,87,True,True,True
190,chr1,19825247,19825336,Nanog_dome_peak_590,241,.,14.619370000000002,27.153129999999997,24.10613,39,True,False,True
191,chr1,19900298,19900617,Nanog_dome_peak_593,709,.,25.06056,74.76673000000001,70.97071,238,False,False,False
192,chr1,20361949,20362144,Nanog_dome_peak_601,243,.,14.19222,27.435879999999997,24.38291,96,True,True,True
193,chr1,20642841,20643172,Nanog_dome_peak_603,317,.,16.605539999999998,34.9435,31.742440000000002,67,True,False,True
194,chr1,20763933,20764278,Nanog_dome_peak_605,183,.,11.90806,21.25623,18.344929999999998,86,True,True,True
195,chr1,20812997,20813191,Nanog_dome_peak_606,155,.,10.51711,18.37585,15.539929999999998,98,False,False,True
196,chr1,20818362,20818716,Nanog_dome_peak_607,1513,.,27.08912,156.13451,151.3573,256,False,True,False
197,chr1,20825736,20826235,Nanog_dome_peak_610,385,.,12.49253,41.8873,38.565670000000004,314,False,True,True
198,chr1,20837857,20838067,Nanog_dome_peak_612,154,.,10.208839999999999,18.23276,15.4006,126,True,False,True
199,chr1,20928744,20928972,Nanog_dome_peak_614,648,.,26.64387,68.56838,64.85343,69,True,False,False
200,chr1,20962032,20962247,Nanog_dome_peak_615,190,.,12.1321,22.01362,19.08305,135,True,False,True
201,chr1,21202719,21202971,Nanog_dome_peak_617,371,.,16.6334,40.402609999999996,37.105709999999995,145,True,False,True
202,chr1,21209679,21210089,Nanog_dome_peak_620,1097,.,23.61426,114.03623,109.75102,151,False,False,False
203,chr1,21221817,21222098,Nanog_dome_peak_622,393,.,17.953310000000002,42.63722,39.30296,99,True,False,True
204,chr1,21263779,21263954,Nanog_dome_peak_626,295,.,16.92769,32.68983,29.53163,93,True,False,True
205,chr1,21291685,21292040,Nanog_dome_peak_627,1646,.,29.8485,169.59333999999998,164.66003,169,False,False,False
206,chr1,21296945,21297383,Nanog_dome_peak_629,1230,.,21.38159,127.50726,123.06173999999999,243,False,True,False
207,chr1,21309307,21309503,Nanog_dome_peak_630,143,.,10.22637,17.15135,14.34934,55,True,False,True
208,chr1,21404924,21405164,Nanog_dome_peak_631,224,.,13.59111,25.46775,22.45739,75,True,False,True
209,chr1,21501447,21501749,Nanog_dome_peak_634,192,.,11.71528,22.15729,19.22325,219,False,False,True
210,chr1,21726012,21726284,Nanog_dome_peak_640,334,.,12.60706,36.69562,33.46295,153,True,False,True
211,chr1,21730014,21730234,Nanog_dome_peak_641,728,.,19.14914,76.63103000000001,72.81031999999999,124,True,False,False
212,chr1,21735916,21736097,Nanog_dome_peak_644,654,.,17.30047,69.14624,65.42352,101,True,False,True
213,chr1,21786830,21787018,Nanog_dome_peak_650,466,.,20.563660000000002,50.05622,46.60342,99,False,True,True
214,chr1,22157485,22157738,Nanog_dome_peak_656,205,.,13.05767,23.51677,20.55058,97,True,False,True
215,chr1,22341327,22341585,Nanog_dome_peak_658,171,.,11.51099,20.023320000000002,17.143420000000003,199,False,False,True
216,chr1,22463439,22463646,Nanog_dome_peak_660,362,.,19.38403,39.530390000000004,36.248090000000005,114,False,False,True
217,chr1,22668116,22668283,Nanog_dome_peak_665,392,.,17.05038,42.57645,39.243179999999995,54,True,False,True
218,chr1,22672011,22672177,Nanog_dome_peak_666,256,.,12.93943,28.74573,25.66565,17,True,True,True
219,chr1,22678424,22678628,Nanog_dome_peak_667,221,.,13.6087,25.14483,22.14188,160,True,False,True
220,chr1,22835857,22836063,Nanog_dome_peak_669,317,.,16.97012,34.99577,31.79385,87,False,False,True
221,chr1,22851683,22851799,Nanog_dome_peak_670,139,.,10.00273,16.71913,13.9292,46,True,False,True
222,chr1,22890453,22890552,Nanog_dome_peak_673,155,.,10.77217,18.38928,15.55234,44,True,True,True
223,chr1,22984310,22984730,Nanog_dome_peak_674,178,.,11.18357,20.77766,17.87792,334,False,False,True
224,chr1,23014320,23014458,Nanog_dome_peak_676,173,.,11.50176,20.1962,17.311320000000002,52,True,True,True
225,chr1,23116512,23116688,Nanog_dome_peak_677,189,.,12.24783,21.90755,18.97953,101,True,False,True
226,chr1,23294344,23294542,Nanog_dome_peak_682,152,.,10.35592,18.09079,15.262670000000002,94,True,False,True
227,chr1,23337800,23337985,Nanog_dome_peak_685,241,.,14.31601,27.218809999999998,24.17057,80,True,True,True
228,chr1,23350306,23350461,Nanog_dome_peak_686,206,.,13.08049,23.571579999999997,20.60428,66,False,False,True
229,chr1,23356936,23357078,Nanog_dome_peak_687,724,.,31.88567,76.25406,72.43835,69,False,True,True
230,chr1,23452331,23452548,Nanog_dome_peak_693,271,.,15.2293,30.27729,27.166159999999998,107,False,False,True
231,chr1,23489833,23490044,Nanog_dome_peak_695,171,.,11.25253,20.050829999999998,17.170270000000002,81,True,True,False
232,chr1,23559247,23559485,Nanog_dome_peak_698,262,.,14.96415,29.302329999999998,26.21046,114,True,False,True
233,chr1,23594467,23594596,Nanog_dome_peak_699,158,.,10.71163,18.72405,15.87829,56,True,False,True
234,chr1,23595898,23595987,Nanog_dome_peak_700,190,.,12.1321,22.01362,19.08305,57,True,False,True
235,chr1,23975984,23976267,Nanog_dome_peak_707,529,.,18.73936,56.52182,52.97322,118,False,True,True
236,chr1,23981953,23982230,Nanog_dome_peak_710,290,.,11.00902,32.20596,29.057159999999996,111,True,False,True
237,chr1,23998738,23999089,Nanog_dome_peak_712,748,.,23.691679999999998,78.70628,74.85849,227,False,True,False
238,chr1,24080849,24081040,Nanog_dome_peak_717,222,.,12.64913,25.29534,22.289,108,True,False,True
239,chr1,24221610,24221824,Nanog_dome_peak_722,477,.,22.11915,51.21026,47.73984,74,False,True,True
240,chr1,24233333,24233513,Nanog_dome_peak_724,1143,.,24.37366,118.72973999999999,114.38875,91,False,True,False
241,chr1,24234377,24234603,Nanog_dome_peak_725,739,.,17.48367,77.76281999999999,73.9272,99,True,False,True
242,chr1,24239391,24239589,Nanog_dome_peak_727,197,.,10.06896,22.64655,19.7005,146,True,False,True
243,chr1,24467377,24467482,Nanog_dome_peak_733,143,.,10.02854,17.16628,14.36375,36,True,False,True
244,chr1,24557268,24557482,Nanog_dome_peak_734,236,.,13.48352,26.708070000000003,23.67053,76,True,False,True
245,chr1,24563874,24564036,Nanog_dome_peak_735,588,.,25.954179999999997,62.43787,58.80664,109,True,True,False
