,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,FitCUT&RUN specific,contain pou5f3 motif
62,chr1,50730219,50730397,Pou5f3_dome_peak_172,244,.,14.079139999999999,28.838490000000004,24.425929999999997,102,True,True
63,chr1,50922403,50922660,Pou5f3_dome_peak_174,426,.,15.9888,47.47397,42.632,122,False,True
64,chr1,51463440,51463716,Pou5f3_dome_peak_178,261,.,14.76165,30.582109999999997,26.11961,149,True,True
65,chr1,54407682,54407780,Pou5f3_dome_peak_188,169,.,11.98364,21.05363,16.906229999999997,30,True,True
66,chr1,54588525,54588878,Pou5f3_dome_peak_190,209,.,13.461020000000001,25.22747,20.93154,248,True,True
67,chr1,59217193,59217332,Pou5f3_dome_peak_195,364,.,17.92535,41.15534,36.43881,98,True,True
68,chr1,59226335,59226446,Pou5f3_dome_peak_196,140,.,10.6454,18.08936,14.057210000000001,70,True,True
69,chr10,74443,74567,Pou5f3_dome_peak_197,172,.,11.57651,21.44856,17.28697,38,True,True
70,chr10,1814633,1814815,Pou5f3_dome_peak_203,245,.,15.04064,28.98957,24.57312,106,True,True
71,chr10,1961684,1961891,Pou5f3_dome_peak_205,233,.,12.67934,27.68938,23.31309,118,False,True
72,chr10,2582146,2582275,Pou5f3_dome_peak_208,338,.,17.94359,38.501709999999996,33.84732,64,True,False
73,chr10,4960248,4960428,Pou5f3_dome_peak_212,262,.,14.83317,30.703840000000003,26.23736,64,True,True
74,chr10,5267999,5268140,Pou5f3_dome_peak_214,225,.,13.579839999999999,26.87292,22.524,44,True,False
75,chr10,5273217,5273584,Pou5f3_dome_peak_215,235,.,12.8331,27.94755,23.562620000000003,232,False,True
76,chr10,6457386,6457547,Pou5f3_dome_peak_219,361,.,14.450660000000001,40.90376,36.19223,90,True,False
77,chr10,6457742,6457951,Pou5f3_dome_peak_220,500,.,17.91749,54.99913000000001,50.037290000000006,98,True,True
78,chr10,8624692,8624939,Pou5f3_dome_peak_226,402,.,15.5048,45.063,40.26419,94,True,True
79,chr10,9299222,9299337,Pou5f3_dome_peak_227,228,.,13.137939999999999,27.254409999999996,22.89282,70,True,True
80,chr10,9299660,9299818,Pou5f3_dome_peak_228,244,.,13.76595,28.901390000000003,24.48735,66,True,True
81,chr10,9797816,9797935,Pou5f3_dome_peak_229,168,.,11.77094,20.998910000000002,16.8535,67,True,True
82,chr10,10326311,10326433,Pou5f3_dome_peak_232,325,.,16.418960000000002,37.22341,32.59945,65,True,False
83,chr10,10956981,10957138,Pou5f3_dome_peak_234,149,.,10.387830000000001,18.97363,14.90564,98,True,False
84,chr10,11015789,11016034,Pou5f3_dome_peak_235,204,.,12.29167,24.69633,20.41864,154,True,True
85,chr10,11490952,11491066,Pou5f3_dome_peak_237,182,.,12.35363,22.42191,18.22405,44,True,False
86,chr10,12006278,12006376,Pou5f3_dome_peak_238,140,.,10.6454,18.08936,14.057210000000001,43,True,False
87,chr10,14929667,14929908,Pou5f3_dome_peak_249,202,.,11.84105,24.50856,20.2379,116,True,True
88,chr10,15440572,15440692,Pou5f3_dome_peak_250,160,.,11.111130000000001,20.2039,16.0876,62,True,True
89,chr10,15854967,15855140,Pou5f3_dome_peak_251,205,.,12.40373,24.88381,20.599510000000002,49,True,True
90,chr10,16216389,16216491,Pou5f3_dome_peak_255,344,.,16.30201,39.12238,34.453379999999996,63,True,True
91,chr10,16232355,16232643,Pou5f3_dome_peak_256,441,.,17.65693,48.96816,44.10259,135,True,True
92,chr10,16794051,16794380,Pou5f3_dome_peak_259,334,.,10.30049,38.05214,33.408359999999995,278,False,False
93,chr10,16800718,16800857,Pou5f3_dome_peak_262,708,.,15.08588,76.1299,70.89474,73,False,False
94,chr10,16825549,16825666,Pou5f3_dome_peak_264,154,.,10.94992,19.51292,15.423960000000001,72,True,False
95,chr10,17427141,17427439,Pou5f3_dome_peak_269,788,.,24.63456,84.1684,78.85299,92,True,True
96,chr10,17505872,17506131,Pou5f3_dome_peak_271,371,.,17.07131,41.875029999999995,37.14247,185,True,True
97,chr10,18912348,18912541,Pou5f3_dome_peak_274,154,.,10.137039999999999,19.52133,15.43186,77,True,False
98,chr10,20954894,20955071,Pou5f3_dome_peak_280,152,.,10.8625,19.35935,15.2761,88,True,True
99,chr10,21641640,21641757,Pou5f3_dome_peak_283,162,.,11.19777,20.35366,16.232310000000002,74,True,True
100,chr10,26845468,26845578,Pou5f3_dome_peak_293,189,.,12.92656,23.206129999999998,18.97938,57,True,False
101,chr10,26932724,26932926,Pou5f3_dome_peak_294,157,.,10.33505,19.84911,15.7469,117,True,False
102,chr10,28535239,28535400,Pou5f3_dome_peak_301,143,.,10.67862,18.364,14.320479999999998,99,True,True
103,chr10,31421373,31421488,Pou5f3_dome_peak_307,204,.,12.31949,24.74286,20.46359,64,True,True
104,chr10,31433027,31433347,Pou5f3_dome_peak_309,279,.,13.22993,32.47214,27.959529999999997,237,True,True
105,chr10,34703917,34704230,Pou5f3_dome_peak_315,413,.,17.80978,46.13842,41.3195,168,True,False
106,chr10,37125400,37125545,Pou5f3_dome_peak_324,156,.,10.85909,19.77141,15.67254,86,True,False
107,chr10,37756321,37756562,Pou5f3_dome_peak_327,143,.,10.287560000000001,18.36665,14.32213,130,True,True
108,chr10,38472660,38472845,Pou5f3_dome_peak_332,175,.,11.72617,21.70673,17.53407,37,True,True
109,chr10,39083919,39084260,Pou5f3_dome_peak_337,729,.,20.697029999999998,78.22045,72.95974,137,True,False
110,chr10,41758994,41759162,Pou5f3_dome_peak_340,215,.,13.9648,25.85166,21.53602,95,True,True
111,chr10,42254128,42254376,Pou5f3_dome_peak_341,205,.,12.347439999999999,24.78961,20.50849,46,True,False
112,chr10,42343028,42343208,Pou5f3_dome_peak_343,204,.,12.93222,24.73365,20.45475,66,True,True
113,chr10,42348123,42348477,Pou5f3_dome_peak_344,158,.,10.67712,19.92502,15.819870000000002,165,True,True
114,chr10,42592705,42593177,Pou5f3_dome_peak_345,372,.,15.872029999999999,42.0148,37.27964,121,False,True
115,chr10,42598890,42599222,Pou5f3_dome_peak_346,157,.,10.65205,19.88308,15.77994,155,True,False
116,chr10,44053809,44054032,Pou5f3_dome_peak_347,348,.,16.566670000000002,39.57076,34.88969,126,True,False
117,chr10,44987465,44987782,Pou5f3_dome_peak_350,220,.,11.917760000000001,26.405279999999998,22.07133,133,True,False
118,chr11,1968477,1968613,Pou5f3_dome_peak_358,192,.,12.20456,23.48489,19.24936,82,True,True
119,chr11,2478403,2478589,Pou5f3_dome_peak_359,263,.,14.905389999999999,30.82692,26.35742,96,True,True
120,chr11,3182590,3182759,Pou5f3_dome_peak_366,140,.,10.55437,18.129479999999997,14.09518,87,True,True
121,chr11,3861180,3861459,Pou5f3_dome_peak_369,168,.,10.0641,20.97675,16.83226,146,True,True
122,chr11,5458097,5458329,Pou5f3_dome_peak_372,390,.,18.654729999999997,43.823240000000006,39.04872,68,True,True
123,chr11,5682414,5682600,Pou5f3_dome_peak_374,198,.,10.9183,24.112460000000002,19.85445,79,True,True
124,chr11,6452863,6453081,Pou5f3_dome_peak_377,208,.,11.16342,25.1192,20.82713,87,True,True
125,chr11,6472864,6472962,Pou5f3_dome_peak_378,155,.,11.21401,19.64806,15.55405,44,True,True
126,chr11,7121144,7121385,Pou5f3_dome_peak_381,330,.,17.0834,37.67268,33.038090000000004,129,False,True
127,chr11,7147422,7147715,Pou5f3_dome_peak_383,217,.,11.36234,26.05944,21.737289999999998,100,True,False
128,chr11,7571909,7572118,Pou5f3_dome_peak_386,185,.,12.29855,22.71058,18.50137,143,True,True
129,chr11,7588124,7588761,Pou5f3_dome_peak_387,245,.,12.3595,29.01694,24.59964,493,True,True
130,chr11,7602547,7602778,Pou5f3_dome_peak_388,266,.,12.4401,31.080840000000002,26.60468,121,True,True
131,chr11,9409658,9409981,Pou5f3_dome_peak_393,186,.,11.544839999999999,22.903010000000002,18.68693,150,True,True
132,chr11,10376687,10376913,Pou5f3_dome_peak_395,185,.,11.8004,22.802429999999998,18.59029,162,True,True
133,chr11,10910237,10910440,Pou5f3_dome_peak_396,149,.,10.128680000000001,19.01234,14.94294,133,True,True
134,chr11,11578462,11578651,Pou5f3_dome_peak_398,264,.,14.978320000000002,30.95138,26.47788,99,True,True
135,chr11,12774772,12774907,Pou5f3_dome_peak_403,205,.,13.467189999999999,24.8702,20.58645,46,True,True
136,chr11,13176397,13176581,Pou5f3_dome_peak_404,214,.,13.5284,25.78294,21.46968,77,True,True
137,chr11,14475525,14475690,Pou5f3_dome_peak_408,242,.,14.288279999999999,28.63155,24.22544,86,True,True
138,chr11,14487997,14488140,Pou5f3_dome_peak_409,134,.,10.01905,17.50408,13.4954,96,True,True
139,chr11,15113905,15114013,Pou5f3_dome_peak_412,196,.,11.45813,23.86962,19.620279999999998,68,True,True
140,chr11,17565756,17565893,Pou5f3_dome_peak_419,218,.,10.736139999999999,26.15628,21.83094,61,True,False
141,chr11,18246495,18246680,Pou5f3_dome_peak_422,385,.,18.36884,43.33963,38.575520000000004,133,True,False
142,chr11,18440980,18441309,Pou5f3_dome_peak_426,294,.,15.28969,33.98173,29.43195,171,True,True
143,chr11,18740811,18741249,Pou5f3_dome_peak_429,707,.,20.02221,75.93516,70.7042,311,True,True
144,chr11,18993073,18993375,Pou5f3_dome_peak_434,1050,.,27.2661,110.54796999999999,105.07915,206,True,False
145,chr11,18998598,18998833,Pou5f3_dome_peak_435,911,.,26.629040000000003,96.52807,91.11906,89,False,True
146,chr11,19279305,19279542,Pou5f3_dome_peak_437,177,.,10.98555,21.97296,17.791,75,True,True
147,chr11,19927576,19927765,Pou5f3_dome_peak_441,265,.,15.36319,31.04645,26.570890000000002,109,True,True
148,chr11,22092304,22092532,Pou5f3_dome_peak_448,470,.,21.6839,51.96094,47.04869,98,True,False
149,chr11,22258467,22258676,Pou5f3_dome_peak_451,294,.,14.101020000000002,33.979440000000004,29.42979,58,True,True
150,chr11,24718323,24718494,Pou5f3_dome_peak_456,154,.,10.72395,19.5413,15.45103,103,True,False
151,chr11,24849814,24850028,Pou5f3_dome_peak_458,423,.,18.86759,47.17978,42.345420000000004,69,True,True
152,chr11,25273837,25274182,Pou5f3_dome_peak_462,486,.,18.90447,53.5665,48.62708,205,True,True
153,chr11,27158906,27159094,Pou5f3_dome_peak_463,143,.,10.710139999999999,18.42396,14.3771,91,True,False
154,chr11,28609334,28609616,Pou5f3_dome_peak_466,617,.,18.92685,66.84318,61.726780000000005,179,True,True
155,chr11,29831408,29831621,Pou5f3_dome_peak_471,180,.,11.12616,22.2066,18.015829999999998,77,True,False
156,chr11,30647298,30647465,Pou5f3_dome_peak_475,277,.,13.854339999999999,32.22144,27.716929999999998,82,True,False
157,chr11,31043327,31043490,Pou5f3_dome_peak_478,181,.,11.221919999999999,22.36576,18.16956,70,True,True
158,chr11,31459400,31459548,Pou5f3_dome_peak_481,259,.,14.307960000000001,30.42026,25.96197,60,True,True
159,chr11,31466543,31466925,Pou5f3_dome_peak_483,346,.,15.149510000000001,39.28904,34.61694,180,True,True
160,chr11,31485330,31485528,Pou5f3_dome_peak_484,175,.,11.75657,21.75937,17.58517,115,True,True
161,chr11,32244483,32244740,Pou5f3_dome_peak_487,286,.,15.59195,33.20789,28.678490000000004,122,True,True
162,chr11,33528759,33528930,Pou5f3_dome_peak_490,138,.,10.43297,17.90308,13.879220000000002,99,True,True
163,chr11,35048675,35048961,Pou5f3_dome_peak_492,426,.,19.02201,47.44211,42.60083,169,True,True
164,chr11,35066848,35066964,Pou5f3_dome_peak_494,168,.,11.31653,21.00364,16.85773,67,True,False
165,chr11,35077867,35078111,Pou5f3_dome_peak_495,227,.,13.40954,27.1342,22.776320000000002,81,True,False
166,chr11,35548704,35549002,Pou5f3_dome_peak_496,147,.,10.52634,18.775570000000002,14.715160000000001,105,True,True
167,chr11,36341051,36341274,Pou5f3_dome_peak_498,183,.,11.94196,22.54341,18.34004,101,True,False
168,chr11,36409281,36409402,Pou5f3_dome_peak_499,174,.,11.66584,21.60247,17.433629999999997,39,True,True
169,chr11,37880524,37880695,Pou5f3_dome_peak_503,233,.,13.734420000000002,27.684390000000004,23.30823,128,True,False
170,chr11,37997473,37997655,Pou5f3_dome_peak_504,195,.,12.89291,23.78718,19.54117,57,True,False
171,chr11,41853856,41854034,Pou5f3_dome_peak_512,270,.,15.648629999999999,31.54857,27.06056,94,True,False
172,chr11,42038576,42038812,Pou5f3_dome_peak_513,308,.,14.9776,35.47573,30.8908,80,False,True
173,chr11,43224765,43225017,Pou5f3_dome_peak_518,164,.,10.75521,20.54627,16.41745,103,True,True
174,chr11,43372797,43372978,Pou5f3_dome_peak_519,161,.,11.13986,20.2535,16.135379999999998,71,True,True
175,chr11,43568370,43568499,Pou5f3_dome_peak_521,470,.,23.3215,51.96027,47.04829,54,True,True
176,chr12,4413997,4414206,Pou5f3_dome_peak_538,139,.,10.2864,17.96875,13.94198,108,True,True
177,chr12,4631023,4631301,Pou5f3_dome_peak_539,170,.,10.54148,21.23489,17.0808,149,True,True
178,chr12,8145772,8145934,Pou5f3_dome_peak_543,149,.,10.663839999999999,19.01314,14.943570000000001,99,True,False
179,chr12,8979056,8979466,Pou5f3_dome_peak_547,168,.,10.68802,20.947879999999998,16.80431,251,True,True
180,chr12,9026855,9027040,Pou5f3_dome_peak_549,211,.,13.07929,25.48892,21.18479,93,True,True
181,chr12,9036445,9036730,Pou5f3_dome_peak_550,282,.,14.926329999999998,32.7199,28.20115,187,True,True
182,chr12,10410258,10410497,Pou5f3_dome_peak_555,579,.,21.91476,63.04675,57.98005,80,True,False
183,chr12,11035069,11035287,Pou5f3_dome_peak_559,171,.,11.23744,21.35134,17.19292,71,True,True
184,chr12,11052536,11052783,Pou5f3_dome_peak_560,253,.,11.72141,29.78855,25.34691,150,True,True
185,chr12,11079250,11079342,Pou5f3_dome_peak_562,185,.,11.8004,22.802429999999998,18.59029,41,True,False
186,chr12,12999928,13000079,Pou5f3_dome_peak_566,220,.,12.97971,26.410870000000003,22.07641,87,True,False
187,chr12,14390819,14391016,Pou5f3_dome_peak_574,539,.,23.9671,59.00281999999999,53.98555,77,False,True
188,chr12,19151717,19151860,Pou5f3_dome_peak_580,174,.,10.8035,21.670479999999998,17.49919,74,True,False
189,chr12,20217912,20218223,Pou5f3_dome_peak_582,284,.,14.2909,32.96136,28.437,127,True,True
190,chr12,22559627,22560028,Pou5f3_dome_peak_586,319,.,14.016720000000001,36.5782,31.96746,196,True,True
191,chr12,23437846,23438093,Pou5f3_dome_peak_588,208,.,12.19774,25.10341,20.81164,129,True,True
192,chr12,25411278,25411630,Pou5f3_dome_peak_596,156,.,10.2461,19.70182,15.605970000000001,71,True,True
193,chr12,26019557,26019739,Pou5f3_dome_peak_597,168,.,11.003730000000001,20.96034,16.816,86,True,True
194,chr12,27553205,27553547,Pou5f3_dome_peak_604,360,.,15.14794,40.72981,36.023270000000004,200,True,False
195,chr12,28088543,28088672,Pou5f3_dome_peak_605,176,.,11.53691,21.85529,17.67734,33,True,False
196,chr12,29031430,29031738,Pou5f3_dome_peak_608,234,.,13.46807,27.80798,23.42781,61,True,False
197,chr12,29984339,29984515,Pou5f3_dome_peak_610,136,.,10.28509,17.63071,13.616879999999998,90,True,False
198,chr12,30731174,30731400,Pou5f3_dome_peak_613,149,.,10.43816,19.05825,14.986620000000002,97,True,True
199,chr12,31398469,31398782,Pou5f3_dome_peak_614,249,.,13.34537,29.42863,24.99683,177,True,True
200,chr12,31739249,31739552,Pou5f3_dome_peak_615,234,.,13.46807,27.80798,23.42781,145,True,True
201,chr12,32464571,32464718,Pou5f3_dome_peak_617,173,.,11.87687,21.55094,17.38411,72,True,True
202,chr12,32486234,32486429,Pou5f3_dome_peak_618,133,.,10.11308,17.31825,13.31826,105,True,True
203,chr12,35215786,35216000,Pou5f3_dome_peak_631,363,.,15.72654,41.02538,36.31126,54,True,True
204,chr12,43398549,43398829,Pou5f3_dome_peak_639,391,.,18.30426,43.96452,39.1877,147,True,False
205,chr12,43625501,43625619,Pou5f3_dome_peak_640,345,.,17.97192,39.19185,34.5217,43,True,True
206,chr12,43656533,43656754,Pou5f3_dome_peak_643,291,.,15.1252,33.70514,29.16177,136,True,True
207,chr12,44735055,44735219,Pou5f3_dome_peak_647,385,.,16.20383,43.34132,38.57719,81,True,True
208,chr12,45539768,45539923,Pou5f3_dome_peak_648,467,.,23.128629999999998,51.60743,46.7023,100,True,True
209,chr12,46543356,46543554,Pou5f3_dome_peak_649,235,.,14.1814,27.913290000000003,23.52906,97,True,False
210,chr12,47660531,47660773,Pou5f3_dome_peak_651,161,.,11.37722,20.275579999999998,16.1564,117,True,True
211,chr12,48174554,48174701,Pou5f3_dome_peak_654,239,.,14.14567,28.386409999999998,23.98842,60,True,True
212,chr12,48836013,48836138,Pou5f3_dome_peak_659,294,.,12.23599,33.97857,29.42892,41,True,False
213,chr12,48837502,48837647,Pou5f3_dome_peak_660,799,.,22.83149,85.28749,79.96172,69,True,True
214,chr13,44429,44621,Pou5f3_dome_peak_661,319,.,16.78666,36.51142,31.90215,105,True,False
215,chr13,1105326,1105496,Pou5f3_dome_peak_663,171,.,10.605780000000001,21.341829999999998,17.18374,74,True,True
216,chr13,3384932,3385031,Pou5f3_dome_peak_672,134,.,10.346169999999999,17.50403,13.4954,52,True,True
217,chr13,5050092,5050276,Pou5f3_dome_peak_678,197,.,11.86298,23.98088,19.72757,60,True,True
218,chr13,9362988,9363249,Pou5f3_dome_peak_683,186,.,10.5327,22.8804,18.66507,111,True,True
219,chr13,10254563,10254682,Pou5f3_dome_peak_686,204,.,12.60513,24.68122,20.404220000000002,93,True,False
220,chr13,10262922,10263109,Pou5f3_dome_peak_687,313,.,14.84149,35.93309,31.338340000000002,80,True,False
221,chr13,13029739,13029938,Pou5f3_dome_peak_690,219,.,12.17787,26.242140000000003,21.91314,66,True,True
222,chr13,13064711,13065099,Pou5f3_dome_peak_691,359,.,18.44219,40.660959999999996,35.95663,323,True,False
223,chr13,14069864,14069985,Pou5f3_dome_peak_692,130,.,10.18298,17.05834,13.06885,68,True,False
224,chr13,15498911,15499029,Pou5f3_dome_peak_703,416,.,21.938370000000003,46.44644,41.6237,82,True,True
225,chr13,17012614,17013176,Pou5f3_dome_peak_707,665,.,17.72396,71.74925,66.56949,176,True,True
226,chr13,17998569,17998780,Pou5f3_dome_peak_712,148,.,10.80539,18.89366,14.82876,63,True,False
227,chr13,19116459,19116561,Pou5f3_dome_peak_713,247,.,12.79304,29.12665,24.705379999999998,62,True,False
228,chr13,19600087,19600194,Pou5f3_dome_peak_718,134,.,10.169780000000001,17.42075,13.415220000000001,54,True,True
229,chr13,21392401,21392520,Pou5f3_dome_peak_726,145,.,10.44552,18.63668,14.58189,47,True,False
230,chr13,21417981,21418133,Pou5f3_dome_peak_727,487,.,18.53349,53.711169999999996,48.76892,66,True,True
231,chr13,21418978,21419093,Pou5f3_dome_peak_728,591,.,21.12818,64.22839,59.14592,46,True,False
232,chr13,21520138,21520274,Pou5f3_dome_peak_730,174,.,12.12047,21.66098,17.49054,84,True,True
233,chr13,22282797,22283079,Pou5f3_dome_peak_735,593,.,22.24098,64.48206,59.39581999999999,160,True,True
234,chr13,22476522,22476729,Pou5f3_dome_peak_737,206,.,13.273420000000002,24.88443,20.60003,133,True,False
235,chr13,22557200,22557526,Pou5f3_dome_peak_738,193,.,11.2758,23.564970000000002,19.3259,227,True,True
236,chr13,24716622,24716771,Pou5f3_dome_peak_746,169,.,11.34484,21.05188,16.90455,71,True,True
237,chr13,25870104,25870283,Pou5f3_dome_peak_750,209,.,12.30363,25.280079999999998,20.98271,136,True,True
238,chr13,28014379,28014591,Pou5f3_dome_peak_758,305,.,16.70068,35.10833,30.53221,98,True,True
239,chr13,28134042,28134299,Pou5f3_dome_peak_759,303,.,16.5744,34.88964,30.31875,135,True,True
240,chr13,28456366,28456622,Pou5f3_dome_peak_760,544,.,16.93574,59.48463,54.45971,109,True,True
241,chr13,29020020,29020244,Pou5f3_dome_peak_767,487,.,19.44499,53.70848,48.76677,130,True,True
242,chr13,29636427,29636618,Pou5f3_dome_peak_768,167,.,10.64242,20.87225,16.73187,70,True,True
243,chr13,29646138,29646503,Pou5f3_dome_peak_769,217,.,11.69818,26.0327,21.71126,295,True,False
244,chr13,30301203,30301480,Pou5f3_dome_peak_771,164,.,10.80401,20.627470000000002,16.49565,189,True,True
245,chr13,30570129,30570314,Pou5f3_dome_peak_775,183,.,11.63527,22.52531,18.32336,95,True,True
246,chr13,30805002,30805259,Pou5f3_dome_peak_779,412,.,16.43831,46.019,41.2029,112,False,True
247,chr13,30814881,30815138,Pou5f3_dome_peak_781,150,.,10.48898,19.14382,15.06921,159,True,False
