chrom,start,end,Nanog_binding_status,replication_timing_pre_MBT
chr1,4700000,4800000,256-cell,-1.4991299999999999
chr1,4800000,4900000,non binding,-1.32226
chr1,4900000,5000000,non binding,-1.16791
chr1,5000000,5100000,256-cell,-1.07459
chr1,5100000,5200000,256-cell,-0.8806860000000001
chr1,5200000,5300000,1k-cell new,-0.419378
chr1,5300000,5400000,dome new,-0.0595491
chr1,5400000,5500000,1k-cell new,-0.0849385
chr1,5500000,5600000,1k-cell new,-0.421372
chr1,5600000,5700000,dome new,-0.7389
chr1,5700000,5800000,non binding,-0.856094
chr1,5800000,5900000,non binding,-0.959659
chr1,5900000,6000000,256-cell,-0.85103
chr1,6000000,6100000,non binding,-0.5087619999999999
chr1,6100000,6200000,1k-cell new,-0.169989
chr1,6200000,6300000,non binding,-0.202601
chr1,6300000,6400000,dome new,-0.509487
chr1,6400000,6500000,dome new,-0.800984
chr1,6500000,6600000,non binding,-1.08212
chr1,6600000,6700000,non binding,-0.971557
chr1,6700000,6800000,non binding,-0.695393
chr1,6800000,6900000,non binding,-0.534907
chr1,6900000,7000000,non binding,-0.359442
chr1,7000000,7100000,256-cell,-0.24477800000000002
chr1,7100000,7200000,1k-cell new,-0.322096
chr1,7200000,7300000,1k-cell new,-0.474526
chr1,7300000,7400000,non binding,-0.28222600000000003
chr1,7400000,7500000,non binding,0.12089100000000001
chr1,7500000,7600000,1k-cell new,0.37142600000000003
chr1,7600000,7700000,1k-cell new,-0.0320797
chr1,7700000,7800000,non binding,-0.344357
chr1,7800000,7900000,1k-cell new,0.13306800000000002
chr1,7900000,8000000,256-cell,0.74515
chr1,8000000,8100000,non binding,0.818142
chr1,8100000,8200000,dome new,0.33208200000000004
chr1,8200000,8300000,non binding,-0.41368999999999995
chr1,8300000,8400000,non binding,-0.761282
chr1,8400000,8500000,non binding,-0.389409
chr1,8500000,8600000,1k-cell new,0.29743400000000003
chr1,8600000,8700000,1k-cell new,0.70699
chr1,8700000,8800000,1k-cell new,0.699512
chr1,8800000,8900000,dome new,0.615043
chr1,8900000,9000000,1k-cell new,0.49410699999999996
chr1,9000000,9100000,non binding,0.295585
chr1,9100000,9200000,dome new,0.372166
chr1,9200000,9300000,1k-cell new,0.822317
chr1,9300000,9400000,dome new,1.36566
chr1,9400000,9500000,dome new,1.31687
chr1,9500000,9600000,non binding,0.772018
chr1,9600000,9700000,dome new,0.324574
chr1,9700000,9800000,1k-cell new,0.468466
chr1,9800000,9900000,dome new,0.850399
chr1,9900000,10000000,1k-cell new,1.3000399999999999
chr1,10000000,10100000,non binding,1.3857899999999999
chr1,10100000,10200000,256-cell,1.05197
chr1,10200000,10300000,dome new,0.6733779999999999
chr1,10300000,10400000,non binding,0.165851
chr1,10400000,10500000,1k-cell new,0.0583645
chr1,10500000,10600000,256-cell,0.543747
chr1,10600000,10700000,dome new,0.956383
chr1,10700000,10800000,non binding,0.922162
chr1,10800000,10900000,1k-cell new,0.832155
chr1,10900000,11000000,1k-cell new,0.79498
chr1,11000000,11100000,dome new,0.7821600000000001
chr1,11100000,11200000,dome new,0.685668
chr1,11200000,11300000,non binding,0.528434
chr1,11300000,11400000,non binding,0.40275500000000003
chr1,11400000,11500000,256-cell,0.513357
chr1,11500000,11600000,non binding,0.761662
chr1,11600000,11700000,1k-cell new,0.64193
chr1,11700000,11800000,non binding,0.20957199999999998
chr1,11800000,11900000,256-cell,0.124892
chr1,11900000,12000000,non binding,0.6963050000000001
chr1,12000000,12100000,256-cell,1.38415
chr1,12100000,12200000,dome new,1.62478
chr1,12200000,12300000,256-cell,1.49304
chr1,12300000,12400000,1k-cell new,1.0885
chr1,12400000,12500000,non binding,0.217475
chr1,12500000,12600000,1k-cell new,-0.490554
chr1,12600000,12700000,non binding,-0.530472
chr1,12700000,12800000,non binding,-0.186353
chr1,12800000,12900000,non binding,-0.0923365
chr1,12900000,13000000,1k-cell new,-0.24628000000000003
chr1,13000000,13100000,dome new,-0.530134
chr1,13100000,13200000,dome new,-0.727308
chr1,13200000,13300000,dome new,-0.500578
chr1,13300000,13400000,dome new,-0.201693
chr1,13400000,13500000,1k-cell new,-0.19842
chr1,13500000,13600000,256-cell,-0.40852
chr1,13600000,13700000,256-cell,-0.464917
chr1,13700000,13800000,non binding,-0.256339
chr1,13800000,13900000,1k-cell new,0.0267191
chr1,13900000,14000000,1k-cell new,0.471342
chr1,14000000,14100000,non binding,0.806158
chr1,14100000,14200000,dome new,1.0104899999999999
chr1,14200000,14300000,non binding,1.28336
chr1,14300000,14400000,1k-cell new,1.6734799999999999
chr1,14400000,14500000,1k-cell new,1.9861400000000002
chr1,14500000,14600000,256-cell,1.98177
chr1,14600000,14700000,non binding,1.52788
chr1,14700000,14800000,non binding,0.865541
chr1,14800000,14900000,non binding,0.166029
chr1,14900000,15000000,non binding,-0.264392
chr1,15000000,15100000,non binding,-0.32234
chr1,15100000,15200000,non binding,-0.0339398
chr1,15200000,15300000,dome new,0.389212
chr1,15300000,15400000,256-cell,0.559222
chr1,15400000,15500000,non binding,0.336183
chr1,15500000,15600000,256-cell,0.217502
chr1,15600000,15700000,dome new,0.21885300000000002
chr1,15700000,15800000,dome new,0.0848882
chr1,15800000,15900000,non binding,0.300978
chr1,15900000,16000000,256-cell,0.8393010000000001
chr1,16000000,16100000,non binding,1.1312
chr1,16100000,16200000,non binding,0.9341940000000001
chr1,16200000,16300000,non binding,0.414214
chr1,16300000,16400000,non binding,0.44506999999999997
chr1,16400000,16500000,1k-cell new,1.22679
chr1,16500000,16600000,1k-cell new,1.74282
chr1,16600000,16700000,dome new,1.52814
chr1,16700000,16800000,1k-cell new,0.8773719999999999
chr1,16800000,16900000,non binding,-0.015978299999999997
chr1,16900000,17000000,non binding,-0.516592
chr1,17000000,17100000,non binding,-0.635088
chr1,17100000,17200000,non binding,-0.541683
chr1,17200000,17300000,256-cell,-0.16309200000000001
chr1,17300000,17400000,1k-cell new,0.28734299999999996
chr1,17400000,17500000,non binding,0.367102
chr1,17500000,17600000,non binding,0.25892600000000005
chr1,17600000,17700000,dome new,0.259
chr1,17700000,17800000,non binding,0.319389
chr1,17800000,17900000,256-cell,0.49703
chr1,17900000,18000000,non binding,0.698997
chr1,18000000,18100000,1k-cell new,0.815224
chr1,18100000,18200000,dome new,0.699365
chr1,18200000,18300000,1k-cell new,0.643087
chr1,18300000,18400000,1k-cell new,0.829592
chr1,18400000,18500000,1k-cell new,1.20472
chr1,18500000,18600000,dome new,1.6094
chr1,18600000,18700000,dome new,1.55362
chr1,18700000,18800000,256-cell,1.1734799999999999
chr1,18800000,18900000,dome new,1.04142
chr1,18900000,19000000,1k-cell new,1.00586
chr1,19000000,19100000,1k-cell new,1.00851
chr1,19100000,19200000,dome new,1.0739100000000001
chr1,19200000,19300000,non binding,1.25823
chr1,19300000,19400000,non binding,1.42791
chr1,19400000,19500000,dome new,1.39428
chr1,19500000,19600000,non binding,1.50468
chr1,19600000,19700000,256-cell,1.74755
chr1,19700000,19800000,non binding,1.7247400000000002
chr1,19800000,19900000,dome new,1.4822
chr1,19900000,20000000,1k-cell new,0.973983
chr1,20000000,20100000,non binding,0.381913
chr1,20100000,20200000,non binding,-0.128392
chr1,20200000,20300000,non binding,-0.361123
chr1,20300000,20400000,dome new,-0.221523
chr1,20400000,20500000,1k-cell new,0.338303
chr1,20500000,20600000,non binding,0.919416
chr1,20600000,20700000,dome new,1.2150100000000001
chr1,20700000,20800000,dome new,1.18834
chr1,20800000,20900000,1k-cell new,1.1400299999999999
chr1,20900000,21000000,1k-cell new,1.12364
chr1,21000000,21100000,non binding,1.1284100000000001
chr1,21100000,21200000,non binding,1.10711
chr1,21200000,21300000,256-cell,1.08548
chr1,21300000,21400000,dome new,0.933941
chr1,21400000,21500000,dome new,0.775972
chr1,21500000,21600000,dome new,0.854886
chr1,21600000,21700000,non binding,0.798944
chr1,21700000,21800000,1k-cell new,0.518886
chr1,21800000,21900000,non binding,0.184988
chr1,21900000,22000000,non binding,-0.277955
chr1,22000000,22100000,non binding,-0.76873
chr1,22100000,22200000,dome new,-0.974246
chr1,22200000,22300000,non binding,-0.856614
chr1,22300000,22400000,dome new,-0.329163
chr1,22400000,22500000,dome new,0.316246
chr1,22500000,22600000,non binding,0.6960149999999999
chr1,22600000,22700000,dome new,0.987324
chr1,22700000,22800000,non binding,1.1718600000000001
chr1,22800000,22900000,dome new,0.9510930000000001
chr1,22900000,23000000,dome new,0.322719
chr1,23000000,23100000,dome new,-0.11578599999999999
chr1,23100000,23200000,dome new,0.1133
chr1,23200000,23300000,dome new,0.883287
chr1,23300000,23400000,256-cell,1.4401899999999999
chr1,23400000,23500000,256-cell,1.43279
chr1,23500000,23600000,dome new,0.9998030000000001
chr1,23600000,23700000,non binding,0.05704630000000001
chr1,23700000,23800000,non binding,-0.718931
chr1,23800000,23900000,non binding,-0.781233
chr1,23900000,24000000,1k-cell new,-0.5966229999999999
chr1,24000000,24100000,dome new,-0.421072
chr1,24100000,24200000,non binding,-0.17688199999999998
chr1,24200000,24300000,256-cell,0.11308800000000001
chr1,24300000,24400000,non binding,0.439492
chr1,24400000,24500000,dome new,0.708172
chr1,24500000,24600000,1k-cell new,0.411757
chr1,24600000,24700000,256-cell,-0.6336609999999999
chr1,24700000,24800000,non binding,-1.19912
chr1,24800000,24900000,256-cell,-0.41361000000000003
chr1,24900000,25000000,256-cell,0.525748
chr1,25000000,25100000,non binding,0.769977
chr1,25100000,25200000,dome new,0.741985
chr1,25200000,25300000,non binding,0.50066
chr1,25300000,25400000,1k-cell new,0.24513400000000002
chr1,25400000,25500000,256-cell,0.539014
chr1,25500000,25600000,256-cell,1.05449
chr1,25600000,25700000,256-cell,1.06464
chr1,25700000,25800000,non binding,0.560878
chr1,25800000,25900000,256-cell,-0.12116800000000001
chr1,25900000,26000000,dome new,-0.474922
chr1,26000000,26100000,256-cell,-0.118631
chr1,26100000,26200000,dome new,-0.137153
chr1,26200000,26300000,1k-cell new,-0.31141599999999997
chr1,26300000,26400000,256-cell,-0.0908842
chr1,26400000,26500000,dome new,0.235702
chr1,26500000,26600000,non binding,0.574217
chr1,26600000,26700000,256-cell,0.739171
chr1,26700000,26800000,non binding,0.14557
chr1,26800000,26900000,256-cell,-0.46397299999999997
chr1,26900000,27000000,256-cell,-0.552796
chr1,27000000,27100000,dome new,-0.5230630000000001
chr1,27100000,27200000,256-cell,-0.9909389999999999
chr1,27200000,27300000,dome new,-1.8187799999999998
chr1,27300000,27400000,non binding,-2.19921
chr1,27400000,27500000,non binding,-2.06737
chr1,27500000,27600000,256-cell,-1.76152
chr1,27600000,27700000,non binding,-1.4839799999999999
chr1,27700000,27800000,non binding,-1.02918
chr1,27800000,27900000,dome new,-0.585281
chr1,27900000,28000000,non binding,-0.572142
chr1,28000000,28100000,dome new,-0.73833
chr1,28100000,28200000,non binding,-1.0454
chr1,28200000,28300000,1k-cell new,-1.17934
chr1,28300000,28400000,1k-cell new,-0.643307
chr1,28400000,28500000,dome new,0.00683639
chr1,28500000,28600000,dome new,0.129583
chr1,28600000,28700000,non binding,0.0999797
chr1,28700000,28800000,1k-cell new,0.0196169
chr1,28800000,28900000,non binding,-0.11173
chr1,28900000,29000000,1k-cell new,-0.203684
chr1,29000000,29100000,non binding,0.0160438
chr1,29100000,29200000,1k-cell new,0.358591
chr1,29200000,29300000,256-cell,-0.11458
chr1,29300000,29400000,non binding,-1.1512200000000001
chr1,29400000,29500000,256-cell,-1.32374
chr1,29500000,29600000,dome new,-0.836957
chr1,29600000,29700000,dome new,-0.197431
chr1,29700000,29800000,non binding,0.163382
chr1,29800000,29900000,256-cell,0.163574
chr1,29900000,30000000,dome new,-0.19558599999999998
chr1,30000000,30100000,256-cell,-0.41656400000000005
chr1,30100000,30200000,256-cell,-0.45616999999999996
chr1,30200000,30300000,1k-cell new,-0.54708
chr1,30300000,30400000,1k-cell new,-0.39399
chr1,30400000,30500000,dome new,-0.227296
chr1,30500000,30600000,non binding,-0.037601800000000005
chr1,30600000,30700000,dome new,0.5441060000000001
chr1,30700000,30800000,1k-cell new,1.32626
chr1,30800000,30900000,non binding,1.70661
chr1,30900000,31000000,dome new,1.85095
chr1,31000000,31100000,non binding,1.72279
chr1,31100000,31200000,1k-cell new,1.34166
chr1,31200000,31300000,non binding,0.8884350000000001
chr1,31300000,31400000,non binding,0.747171
chr1,31400000,31500000,256-cell,1.2664799999999998
chr1,31500000,31600000,256-cell,1.54148
chr1,31600000,31700000,dome new,1.53646
chr1,31700000,31800000,256-cell,1.02292
chr1,31800000,31900000,non binding,0.36525100000000005
chr1,31900000,32000000,dome new,0.246957
chr1,32000000,32100000,dome new,0.524
chr1,32100000,32200000,1k-cell new,0.519216
chr1,32200000,32300000,non binding,0.21761999999999998
chr1,32300000,32400000,non binding,0.0427084
chr1,32400000,32500000,256-cell,-0.09096900000000001
chr1,32500000,32600000,dome new,-0.255215
chr1,32600000,32700000,dome new,-0.338416
chr1,32700000,32800000,dome new,-0.38484
chr1,32800000,32900000,non binding,-0.35773
chr1,32900000,33000000,non binding,-0.21959
chr1,33000000,33100000,256-cell,0.05361319999999999
chr1,33100000,33200000,1k-cell new,0.32964699999999997
chr1,33200000,33300000,dome new,0.701599
chr1,33300000,33400000,dome new,1.05302
chr1,33400000,33500000,dome new,1.25335
chr1,33500000,33600000,1k-cell new,1.28967
chr1,33600000,33700000,256-cell,0.79657
chr1,33700000,33800000,non binding,-0.077011
chr1,33800000,33900000,non binding,-0.731822
chr1,33900000,34000000,non binding,-0.565524
chr1,34000000,34100000,1k-cell new,-0.111774
chr1,34100000,34200000,256-cell,-0.0281575
chr1,34200000,34300000,non binding,-0.0298258
chr1,34300000,34400000,256-cell,-0.025838999999999997
chr1,34400000,34500000,non binding,0.0674414
chr1,34500000,34600000,non binding,0.48203900000000005
chr1,34600000,34700000,dome new,1.06976
chr1,34700000,34800000,dome new,1.1542299999999999
chr1,34800000,34900000,non binding,0.497316
chr1,34900000,35000000,non binding,-0.174457
chr1,35000000,35100000,non binding,-0.27222199999999996
chr1,35100000,35200000,non binding,0.249018
chr1,35200000,35300000,non binding,0.7421479999999999
chr1,35300000,35400000,non binding,0.847657
chr1,35400000,35500000,1k-cell new,0.700175
chr1,35500000,35600000,1k-cell new,0.356403
chr1,35600000,35700000,1k-cell new,0.0529625
chr1,35700000,35800000,1k-cell new,0.0281356
chr1,35800000,35900000,non binding,0.350625
chr1,35900000,36000000,dome new,0.566332
chr1,36000000,36100000,dome new,0.282219
chr1,36100000,36200000,1k-cell new,0.301212
chr1,36200000,36300000,non binding,0.482921
chr1,36300000,36400000,1k-cell new,0.44005299999999997
chr1,36400000,36500000,256-cell,0.216047
chr1,36500000,36600000,dome new,0.07710299999999999
chr1,36600000,36700000,1k-cell new,0.332515
chr1,36700000,36800000,non binding,0.5808260000000001
chr1,36800000,36900000,dome new,0.388824
chr1,36900000,37000000,dome new,0.227379
chr1,37000000,37100000,dome new,0.48581599999999997
chr1,37100000,37200000,dome new,0.9924540000000001
chr1,37200000,37300000,dome new,1.0177399999999999
chr1,37300000,37400000,non binding,0.631559
chr1,37400000,37500000,non binding,0.286325
chr1,37500000,37600000,1k-cell new,-0.09159389999999999
chr1,37600000,37700000,dome new,-0.278758
chr1,37700000,37800000,dome new,-0.013885
chr1,37800000,37900000,1k-cell new,0.40822600000000003
chr1,37900000,38000000,dome new,0.612179
chr1,38000000,38100000,non binding,0.724695
chr1,38100000,38200000,256-cell,1.23961
chr1,38200000,38300000,dome new,1.53663
chr1,38300000,38400000,1k-cell new,1.49653
chr1,38400000,38500000,non binding,1.0755
chr1,38500000,38600000,1k-cell new,0.579073
chr1,38600000,38700000,1k-cell new,0.576158
chr1,38700000,38800000,256-cell,1.13667
chr1,38800000,38900000,1k-cell new,1.24384
chr1,38900000,39000000,1k-cell new,0.5512670000000001
chr1,39000000,39100000,1k-cell new,-0.15323299999999998
chr1,39100000,39200000,1k-cell new,-0.478901
chr1,39200000,39300000,dome new,-0.534025
chr1,39300000,39400000,dome new,-0.703407
chr1,39400000,39500000,1k-cell new,-0.998872
chr1,39500000,39600000,dome new,-1.21635
chr1,39600000,39700000,dome new,-1.09238
chr1,39700000,39800000,1k-cell new,-0.503207
chr1,39800000,39900000,256-cell,0.462588
chr1,39900000,40000000,1k-cell new,0.8635809999999999
chr1,40000000,40100000,dome new,0.830741
chr1,40100000,40200000,256-cell,0.639227
chr1,40200000,40300000,1k-cell new,0.23915
chr1,40300000,40400000,non binding,-0.0418024
chr1,40400000,40500000,256-cell,0.342937
chr1,40500000,40600000,256-cell,1.03043
chr1,40600000,40700000,256-cell,1.3450799999999998
chr1,40700000,40800000,non binding,1.43475
chr1,40800000,40900000,dome new,1.31362
chr1,40900000,41000000,256-cell,1.16972
chr1,41000000,41100000,1k-cell new,0.8851979999999999
chr1,41100000,41200000,1k-cell new,0.575226
chr1,41200000,41300000,dome new,0.42523900000000003
chr1,41300000,41400000,non binding,0.47173000000000004
chr1,41400000,41500000,dome new,0.879683
chr1,41500000,41600000,non binding,1.19686
chr1,41600000,41700000,dome new,1.29372
chr1,41700000,41800000,dome new,1.39438
chr1,41800000,41900000,1k-cell new,1.4173799999999999
chr1,41900000,42000000,dome new,1.23532
chr1,42000000,42100000,dome new,0.81629
chr1,42100000,42200000,non binding,0.380384
chr1,42200000,42300000,dome new,0.11932999999999999
chr1,42300000,42400000,non binding,-0.0662688
chr1,42400000,42500000,non binding,-0.182445
chr1,42500000,42600000,1k-cell new,-0.215158
chr1,42600000,42700000,dome new,-0.295126
chr1,42700000,42800000,dome new,-0.506182
chr1,42800000,42900000,non binding,-0.355537
chr1,42900000,43000000,non binding,0.0233179
chr1,43000000,43100000,1k-cell new,0.183007
chr1,43100000,43200000,dome new,0.021363999999999998
chr1,43200000,43300000,1k-cell new,-0.0089104
chr1,43300000,43400000,non binding,0.128272
chr1,43400000,43500000,non binding,0.167527
chr1,43500000,43600000,non binding,0.385383
chr1,43600000,43700000,dome new,0.9647379999999999
chr1,43700000,43800000,1k-cell new,1.53434
chr1,43800000,43900000,256-cell,1.62741
chr1,43900000,44000000,dome new,1.66287
chr1,44000000,44100000,256-cell,1.7300200000000001
chr1,44100000,44200000,non binding,1.5402
chr1,44200000,44300000,non binding,1.24035
chr1,44300000,44400000,1k-cell new,0.999432
chr1,44400000,44500000,non binding,0.774872
chr1,44500000,44600000,1k-cell new,0.529756
chr1,44600000,44700000,non binding,0.5948140000000001
chr1,44700000,44800000,1k-cell new,1.14523
chr1,44800000,44900000,1k-cell new,1.80099
chr1,44900000,45000000,dome new,2.10914
chr1,45000000,45100000,256-cell,2.0542
chr1,45100000,45200000,non binding,1.8988099999999999
chr1,45200000,45300000,dome new,1.45753
chr1,45300000,45400000,dome new,0.610628
chr1,45400000,45500000,non binding,0.186846
chr1,45500000,45600000,non binding,0.42982299999999996
chr1,45600000,45700000,dome new,0.712411
chr1,45700000,45800000,1k-cell new,0.483734
chr1,45800000,45900000,1k-cell new,0.3737
chr1,45900000,46000000,1k-cell new,0.739173
chr1,46000000,46100000,non binding,1.09199
chr1,46100000,46200000,256-cell,1.00288
chr1,46200000,46300000,1k-cell new,0.475837
chr1,46300000,46400000,1k-cell new,0.0484644
chr1,46400000,46500000,non binding,0.11143499999999999
chr1,46500000,46600000,non binding,0.47892799999999996
chr1,46600000,46700000,dome new,0.908415
chr1,46700000,46800000,dome new,0.9788530000000001
chr1,46800000,46900000,256-cell,0.888149
chr1,46900000,47000000,1k-cell new,0.9975299999999999
chr1,47000000,47100000,non binding,1.1122299999999998
chr1,47100000,47200000,256-cell,0.863576
chr1,47200000,47300000,dome new,-0.0647871
chr1,47300000,47400000,dome new,-0.625146
chr1,47400000,47500000,dome new,-0.31640799999999997
chr1,47500000,47600000,1k-cell new,-0.168537
chr1,47600000,47700000,non binding,-0.297304
chr1,47700000,47800000,dome new,-0.11121900000000001
chr1,47800000,47900000,256-cell,-0.026611799999999998
chr1,47900000,48000000,non binding,0.0450225
chr1,48000000,48100000,non binding,0.248371
chr1,48100000,48200000,non binding,0.234145
chr1,48200000,48300000,non binding,0.0993483
chr1,48300000,48400000,non binding,0.0751515
chr1,48400000,48500000,1k-cell new,0.0756762
chr1,48500000,48600000,non binding,-0.0458547
chr1,48600000,48700000,dome new,-0.13608199999999998
chr1,48700000,48800000,non binding,-0.175564
chr1,48800000,48900000,256-cell,-0.15021099999999998
chr1,48900000,49000000,256-cell,-0.09158510000000002
chr1,49000000,49100000,non binding,-0.026342200000000003
chr1,49100000,49200000,non binding,0.196177
chr1,49200000,49300000,256-cell,0.659744
chr1,49300000,49400000,256-cell,1.01179
chr1,49400000,49500000,1k-cell new,0.9907940000000001
chr1,49500000,49600000,256-cell,0.804905
chr1,49600000,49700000,1k-cell new,0.427479
chr1,49700000,49800000,dome new,0.0349235
chr1,49800000,49900000,dome new,-0.135725
chr1,49900000,50000000,1k-cell new,-0.240379
chr1,50000000,50100000,non binding,-0.370949
chr1,50100000,50200000,non binding,-0.365818
chr1,50200000,50300000,non binding,-0.24641999999999997
chr1,50300000,50400000,non binding,-0.25186
chr1,50400000,50500000,non binding,-0.34719099999999997
chr1,50500000,50600000,256-cell,0.00332051
chr1,50600000,50700000,dome new,0.41184
chr1,50700000,50800000,dome new,0.340856
chr1,50800000,50900000,1k-cell new,0.27860799999999997
chr1,50900000,51000000,256-cell,0.516599
chr1,51000000,51100000,non binding,0.342806
chr1,51100000,51200000,256-cell,-0.0877301
chr1,51200000,51300000,dome new,-0.256146
chr1,51300000,51400000,dome new,-0.1914
chr1,51400000,51500000,256-cell,0.126531
chr1,51500000,51600000,dome new,0.537384
chr1,51600000,51700000,dome new,1.03514
chr1,51700000,51800000,256-cell,1.2393
chr1,51800000,51900000,256-cell,0.866475
chr1,51900000,52000000,dome new,0.179536
chr1,52000000,52100000,256-cell,-0.15729100000000001
chr1,52100000,52200000,1k-cell new,-0.0255703
chr1,52200000,52300000,1k-cell new,0.10185
chr1,52300000,52400000,non binding,0.296358
chr1,52400000,52500000,non binding,0.894552
chr1,52500000,52600000,non binding,1.39791
chr1,52600000,52700000,dome new,1.36847
chr1,52700000,52800000,256-cell,0.934649
chr1,52800000,52900000,dome new,-0.031503300000000005
chr1,52900000,53000000,256-cell,-0.728763
chr1,53000000,53100000,non binding,-0.7112609999999999
chr1,53100000,53200000,dome new,-0.33933800000000003
chr1,53200000,53300000,non binding,0.0872679
chr1,53300000,53400000,non binding,0.327621
chr1,53400000,53500000,256-cell,0.302191
chr1,53500000,53600000,non binding,0.027075799999999997
chr1,53600000,53700000,non binding,0.129689
chr1,53700000,53800000,dome new,0.326337
chr1,53800000,53900000,non binding,0.32521300000000003
chr1,53900000,54000000,dome new,-0.000889875
chr1,54000000,54100000,1k-cell new,-0.5825279999999999
chr1,54100000,54200000,dome new,-0.8830020000000001
chr1,54200000,54300000,non binding,-1.0189
chr1,54300000,54400000,256-cell,-1.0467
chr1,54400000,54500000,non binding,-0.78085
chr1,54500000,54600000,1k-cell new,-0.27858099999999997
chr1,54600000,54700000,dome new,0.465725
chr1,54700000,54800000,256-cell,0.726338
chr1,54800000,54900000,non binding,0.39739
chr1,54900000,55000000,256-cell,-0.23615999999999998
chr1,55000000,55100000,non binding,-0.6446850000000001
chr1,55100000,55200000,256-cell,-0.254427
chr1,55200000,55300000,non binding,0.519196
chr1,55300000,55400000,non binding,1.02215
chr1,55400000,55500000,non binding,0.9665739999999999
chr1,55500000,55600000,non binding,0.5547350000000001
chr1,55600000,55700000,1k-cell new,-0.138096
chr1,55700000,55800000,dome new,-0.448607
chr1,55800000,55900000,1k-cell new,-0.17496199999999998
chr1,55900000,56000000,non binding,-0.151104
chr1,56000000,56100000,non binding,-0.0685945
chr1,56100000,56200000,non binding,0.101552
chr1,56200000,56300000,non binding,0.00127225
chr1,56300000,56400000,non binding,-0.08237260000000002
chr1,56400000,56500000,dome new,-0.236578
chr1,56500000,56600000,non binding,-0.6811159999999999
chr1,56600000,56700000,non binding,-1.04057
chr1,56700000,56800000,non binding,-1.4096899999999999
chr1,56800000,56900000,non binding,-2.26336
chr1,56900000,57000000,non binding,-2.66647
chr1,57000000,57100000,non binding,-1.67658
chr1,57100000,57200000,non binding,-0.268369
chr1,57200000,57300000,non binding,0.161873
chr1,57300000,57400000,dome new,-0.17773
chr1,57400000,57500000,non binding,-0.398156
chr1,57500000,57600000,non binding,-0.676932
chr1,57600000,57700000,non binding,-0.951988
chr1,57700000,57800000,non binding,-0.8137439999999999
chr1,57800000,57900000,non binding,-0.30357
chr1,57900000,58000000,non binding,0.383943
chr1,58000000,58100000,dome new,0.911215
chr1,58100000,58200000,non binding,1.06054
chr1,58200000,58300000,non binding,1.10877
chr1,58300000,58400000,non binding,1.25504
chr1,58400000,58500000,non binding,0.914344
chr1,58500000,58600000,non binding,0.172178
chr1,58600000,58700000,256-cell,-0.5992029999999999
chr1,58700000,58800000,non binding,-1.4255200000000001
chr1,58800000,58900000,256-cell,-1.8083599999999997
chr1,58900000,59000000,non binding,-1.8573400000000002
chr1,59000000,59100000,dome new,-1.7836900000000002
chr1,59100000,59200000,non binding,-1.85159
chr1,59200000,59300000,dome new,-2.50902
chr1,59300000,59400000,non binding,-2.90793
chr1,59400000,59500000,non binding,-3.27313
chr1,59500000,59578282,non binding,-3.76654
chr10,0,100000,256-cell,-2.2800700000000003
chr10,100000,200000,1k-cell new,-2.4802400000000002
chr10,200000,300000,dome new,-2.1793400000000003
chr10,300000,400000,non binding,-1.67082
chr10,400000,500000,non binding,-1.28501
